s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
radix,77,3.0513050,8, 100000000
quick,78,3.0333080,10, 100000000
radix,78,3.0333080,8, 100000000
quick,79,3.0491820,10, 100000000
radix,79,3.0491820,7, 100000000
quick,80,3.0407680,13, 100000000
radix,80,3.0407680,11, 100000000
quick,81,3.1364740,38, 100000000
radix,81,3.1364740,25, 100000000
quick,82,3.1534090,11, 100000000
radix,82,3.1534090,8, 100000000
quick,83,3.3344050,10, 100000000
radix,83,3.3344050,8, 100000000
quick,84,3.1385370,14, 100000000
radix,84,3.1385370,19, 100000000
quick,85,3.1413720,10, 100000000
radix,85,3.1413720,7, 100000000
quick,86,3.0357740,18, 100000000
radix,86,3.0357740,8, 100000000
quick,87,3.1506710,12, 100000000
radix,87,3.1506710,9, 100000000
quick,88,3.1248770,13, 100000000
radix,88,3.1248770,10, 100000000
quick,89,3.0960160,20, 100000000
radix,89,3.0960160,10, 100000000
quick,90,3.0643670,10, 100000000
radix,90,3.0643670,7, 100000000
quick,91,3.0733760,12, 100000000
radix,91,3.0733760,9, 100000000
quick,92,3.1588330,17, 100000000
radix,92,3.1588330,7, 100000000
quick,93,3.1487560,10, 100000000
radix,93,3.1487560,7, 100000000
quick,94,3.0443940,18, 100000000
radix,94,3.0443940,8, 100000000
quick,95,3.0848970,13, 100000000
radix,95,3.0848970,9, 100000000
quick,96,3.0573230,18, 100000000
radix,96,3.0573230,9, 100000000
quick,97,3.0775210,10, 100000000
radix,97,3.0775210,36, 100000000
quick,98,3.1691700,78, 100000000
radix,98,3.1691700,8, 100000000
quick,99,3.0616510,19, 100000000
radix,99,3.0616510,8, 100000000
quick,100,3.0701750,11, 100000000
radix,100,3.0701750,9, 100000000
