s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,2.8244530,10, 100000000
radix,1,2.8244530,47, 100000000
quick,2,2.7977920,9, 100000000
radix,2,2.7977920,7, 100000000
quick,3,2.7973310,8, 100000000
radix,3,2.7973310,6, 100000000
quick,4,2.8094840,17, 100000000
radix,4,2.8094840,10, 100000000
quick,5,2.8114820,10, 100000000
radix,5,2.8114820,8, 100000000
quick,6,2.8319100,78, 100000000
radix,6,2.8319100,58, 100000000
quick,7,2.8080040,18, 100000000
radix,7,2.8080040,8, 100000000
quick,8,2.7982660,9, 100000000
radix,8,2.7982660,6, 100000000
quick,9,2.7900150,10, 100000000
radix,9,2.7900150,36, 100000000
quick,10,2.8105860,8, 100000000
radix,10,2.8105860,7, 100000000
quick,11,2.8028160,8, 100000000
radix,11,2.8028160,6, 100000000
quick,12,2.8410070,10, 100000000
radix,12,2.8410070,7, 100000000
quick,13,2.8029430,9, 100000000
radix,13,2.8029430,6, 100000000
quick,14,2.8159350,9, 100000000
radix,14,2.8159350,7, 100000000
quick,15,2.8058750,8, 100000000
radix,15,2.8058750,42, 100000000
quick,16,2.8038660,20, 100000000
radix,16,2.8038660,9, 100000000
quick,17,2.8120400,59, 100000000
radix,17,2.8120400,9, 100000000
quick,18,2.7957070,17, 100000000
radix,18,2.7957070,7, 100000000
quick,19,2.8034860,11, 100000000
radix,19,2.8034860,8, 100000000
quick,20,2.8044450,19, 100000000
radix,20,2.8044450,8, 100000000
quick,21,2.8008050,9, 100000000
radix,21,2.8008050,6, 100000000
quick,22,2.8150960,17, 100000000
radix,22,2.8150960,8, 100000000
quick,23,2.8095840,10, 100000000
radix,23,2.8095840,15, 100000000
quick,24,2.8126530,9, 100000000
radix,24,2.8126530,6, 100000000
quick,25,2.8094750,18, 100000000
radix,25,2.8094750,8, 100000000
quick,26,2.8067140,8, 100000000
radix,26,2.8067140,6, 100000000
quick,27,2.8014760,19, 100000000
radix,27,2.8014760,10, 100000000
quick,28,2.8148570,8, 100000000
radix,28,2.8148570,6, 100000000
quick,29,2.8009800,19, 100000000
radix,29,2.8009800,9, 100000000
quick,30,2.8062210,9, 100000000
radix,30,2.8062210,7, 100000000
quick,31,2.7909550,11, 100000000
radix,31,2.7909550,8, 100000000
quick,32,2.7960950,8, 100000000
radix,32,2.7960950,7, 100000000
quick,33,2.8127510,9, 100000000
radix,33,2.8127510,6, 100000000
quick,34,2.8042800,8, 100000000
radix,34,2.8042800,7, 100000000
quick,35,2.8314730,9, 100000000
radix,35,2.8314730,7, 100000000
quick,36,2.8131030,9, 100000000
radix,36,2.8131030,6, 100000000
quick,37,2.8129200,17, 100000000
radix,37,2.8129200,8, 100000000
quick,38,2.8336800,20, 100000000
radix,38,2.8336800,8, 100000000
quick,39,2.8227450,8, 100000000
radix,39,2.8227450,6, 100000000
quick,40,2.8159100,9, 100000000
radix,40,2.8159100,6, 100000000
quick,41,2.8013380,19, 100000000
radix,41,2.8013380,10, 100000000
quick,42,2.8128630,8, 100000000
radix,42,2.8128630,7, 100000000
quick,43,2.8173390,9, 100000000
radix,43,2.8173390,6, 100000000
quick,44,2.8000560,13, 100000000
radix,44,2.8000560,7, 100000000
quick,45,2.8123300,8, 100000000
radix,45,2.8123300,6, 100000000
quick,46,2.7947820,19, 100000000
radix,46,2.7947820,9, 100000000
quick,47,2.8066960,8, 100000000
radix,47,2.8066960,6, 100000000
quick,48,2.8043920,19, 100000000
radix,48,2.8043920,12, 100000000
quick,49,2.8076170,8, 100000000
radix,49,2.8076170,6, 100000000
quick,50,2.7934220,11, 100000000
radix,50,2.7934220,8, 100000000
quick,51,2.8019970,18, 100000000
radix,51,2.8019970,9, 100000000
quick,52,2.8059540,17, 100000000
radix,52,2.8059540,8, 100000000
quick,53,2.8116890,18, 100000000
radix,53,2.8116890,8, 100000000
quick,54,2.8222840,10, 100000000
radix,54,2.8222840,8, 100000000
quick,55,2.8115870,8, 100000000
radix,55,2.8115870,7, 100000000
quick,56,2.8435790,9, 100000000
radix,56,2.8435790,7, 100000000
quick,57,2.8075090,8, 100000000
radix,57,2.8075090,6, 100000000
quick,58,2.7901520,9, 100000000
radix,58,2.7901520,7, 100000000
quick,59,2.8088080,10, 100000000
radix,59,2.8088080,8, 100000000
quick,60,2.7945430,11, 100000000
radix,60,2.7945430,8, 100000000
quick,61,2.8004630,17, 100000000
radix,61,2.8004630,7, 100000000
quick,62,2.8197130,8, 100000000
radix,62,2.8197130,6, 100000000
quick,63,2.8211760,19, 100000000
radix,63,2.8211760,9, 100000000
quick,64,2.8238540,18, 100000000
radix,64,2.8238540,8, 100000000
quick,65,2.8160420,16, 100000000
radix,65,2.8160420,7, 100000000
quick,66,2.8064060,21, 100000000
radix,66,2.8064060,12, 100000000
quick,67,2.7968170,17, 100000000
radix,67,2.7968170,11, 100000000
quick,68,2.7965500,16, 100000000
radix,68,2.7965500,7, 100000000
quick,69,2.8077400,18, 100000000
radix,69,2.8077400,9, 100000000
quick,70,2.8157610,20, 100000000
radix,70,2.8157610,9, 100000000
quick,71,2.8108580,18, 100000000
radix,71,2.8108580,8, 100000000
quick,72,2.8114350,9, 100000000
radix,72,2.8114350,6, 100000000
quick,73,2.8005630,9, 100000000
radix,73,2.8005630,6, 100000000
quick,74,2.8158280,8, 100000000
radix,74,2.8158280,7, 100000000
quick,75,2.7988510,8, 100000000
radix,75,2.7988510,25, 100000000
quick,76,2.8010610,9, 100000000
radix,76,2.8010610,7, 100000000
quick,77,2.8221240,17, 100000000
radix,77,2.8221240,8, 100000000
quick,78,2.8160340,18, 100000000
radix,78,2.8160340,8, 100000000
quick,79,2.8243930,8, 100000000
