s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,3.1528630,18, 100000000
radix,1,3.1528630,15, 100000000
quick,2,3.1406070,10, 100000000
radix,2,3.1406070,7, 100000000
quick,3,3.0841660,10, 100000000
radix,3,3.0841660,8, 100000000
quick,4,3.1614160,15, 100000000
radix,4,3.1614160,28, 100000000
quick,5,3.3385390,18, 100000000
radix,5,3.3385390,8, 100000000
quick,6,3.1168450,9, 100000000
radix,6,3.1168450,7, 100000000
quick,7,3.1179050,50, 100000000
radix,7,3.1179050,47, 100000000
quick,8,3.0859600,14, 100000000
radix,8,3.0859600,11, 100000000
quick,9,3.1121360,10, 100000000
radix,9,3.1121360,8, 100000000
quick,10,3.0847760,14, 100000000
radix,10,3.0847760,12, 100000000
quick,11,3.1256610,35, 100000000
radix,11,3.1256610,8, 100000000
quick,12,3.1296890,18, 100000000
radix,12,3.1296890,9, 100000000
quick,13,3.2061110,18, 100000000
radix,13,3.2061110,9, 100000000
quick,14,3.1016390,17, 100000000
radix,14,3.1016390,7, 100000000
quick,15,3.2110260,18, 100000000
radix,15,3.2110260,8, 100000000
quick,16,3.1051980,10, 100000000
radix,16,3.1051980,8, 100000000
quick,17,3.0975590,11, 100000000
radix,17,3.0975590,9, 100000000
quick,18,3.1165090,18, 100000000
radix,18,3.1165090,8, 100000000
quick,19,3.0846370,17, 100000000
radix,19,3.0846370,7, 100000000
quick,20,3.0767410,10, 100000000
radix,20,3.0767410,8, 100000000
quick,21,3.0664630,13, 100000000
radix,21,3.0664630,11, 100000000
quick,22,3.1406820,41, 100000000
radix,22,3.1406820,8, 100000000
quick,23,3.1849380,13, 100000000
radix,23,3.1849380,11, 100000000
quick,24,3.0766100,12, 100000000
radix,24,3.0766100,17, 100000000
quick,25,3.0864820,10, 100000000
radix,25,3.0864820,8, 100000000
quick,26,3.1649190,17, 100000000
radix,26,3.1649190,7, 100000000
quick,27,3.1245070,12, 100000000
radix,27,3.1245070,53, 100000000
quick,28,3.0667450,78, 100000000
radix,28,3.0667450,32, 100000000
quick,29,3.0997420,16, 100000000
radix,29,3.0997420,10, 100000000
quick,30,3.1561220,18, 100000000
radix,30,3.1561220,8, 100000000
quick,31,3.0904360,18, 100000000
radix,31,3.0904360,8, 100000000
quick,32,3.0654650,14, 100000000
radix,32,3.0654650,16, 100000000
quick,33,3.0957580,10, 100000000
radix,33,3.0957580,7, 100000000
quick,34,3.1823980,11, 100000000
radix,34,3.1823980,8, 100000000
quick,35,3.1238650,14, 100000000
radix,35,3.1238650,11, 100000000
quick,36,3.1025120,10, 100000000
radix,36,3.1025120,8, 100000000
quick,37,3.1504420,12, 100000000
radix,37,3.1504420,10, 100000000
quick,38,3.0967990,12, 100000000
radix,38,3.0967990,9, 100000000
quick,39,3.1340630,13, 100000000
radix,39,3.1340630,11, 100000000
quick,40,3.1220040,10, 100000000
radix,40,3.1220040,8, 100000000
quick,41,3.0720220,10, 100000000
radix,41,3.0720220,18, 100000000
quick,42,3.1095450,13, 100000000
radix,42,3.1095450,10, 100000000
quick,43,3.0774360,17, 100000000
radix,43,3.0774360,15, 100000000
quick,44,3.1366480,41, 100000000
radix,44,3.1366480,33, 100000000
quick,45,3.0897300,19, 100000000
radix,45,3.0897300,8, 100000000
quick,46,3.1714120,20, 100000000
radix,46,3.1714120,10, 100000000
quick,47,3.1967960,18, 100000000
radix,47,3.1967960,9, 100000000
quick,48,3.1264820,19, 100000000
radix,48,3.1264820,8, 100000000
quick,49,3.1400360,26, 100000000
radix,49,3.1400360,11, 100000000
quick,50,3.0808470,10, 100000000
radix,50,3.0808470,8, 100000000
quick,51,3.1304070,18, 100000000
radix,51,3.1304070,8, 100000000
quick,52,3.0787670,11, 100000000
radix,52,3.0787670,9, 100000000
quick,53,3.1037270,10, 100000000
radix,53,3.1037270,8, 100000000
quick,54,3.0860620,12, 100000000
radix,54,3.0860620,10, 100000000
quick,55,3.1414560,10, 100000000
radix,55,3.1414560,8, 100000000
quick,56,3.0917100,10, 100000000
radix,56,3.0917100,8, 100000000
quick,57,3.1436050,12, 100000000
radix,57,3.1436050,9, 100000000
quick,58,3.1092600,21, 100000000
radix,58,3.1092600,10, 100000000
quick,59,3.0199140,14, 100000000
radix,59,3.0199140,12, 100000000
quick,60,3.1270900,10, 100000000
radix,60,3.1270900,8, 100000000
quick,61,3.0709610,26, 100000000
radix,61,3.0709610,15, 100000000
quick,62,3.0664010,18, 100000000
radix,62,3.0664010,14, 100000000
quick,63,3.2126890,23, 100000000
radix,63,3.2126890,17, 100000000
quick,64,3.1770380,12, 100000000
radix,64,3.1770380,18, 100000000
quick,65,3.1359910,19, 100000000
radix,65,3.1359910,8, 100000000
quick,66,3.0714300,21, 100000000
radix,66,3.0714300,14, 100000000
quick,67,3.1066620,20, 100000000
radix,67,3.1066620,10, 100000000
quick,68,3.0939970,18, 100000000
radix,68,3.0939970,8, 100000000
quick,69,3.0438880,9, 100000000
radix,69,3.0438880,7, 100000000
quick,70,3.0993010,12, 100000000
radix,70,3.0993010,9, 100000000
quick,71,3.0801680,12, 100000000
radix,71,3.0801680,10, 100000000
quick,72,3.0323870,19, 100000000
radix,72,3.0323870,8, 100000000
quick,73,3.1239930,18, 100000000
radix,73,3.1239930,8, 100000000
quick,74,3.1325690,19, 100000000
radix,74,3.1325690,40, 100000000
quick,75,3.0295400,19, 100000000
radix,75,3.0295400,8, 100000000
quick,76,3.1246190,46, 100000000
radix,76,3.1246190,15, 100000000
quick,77,3.0635040,21, 100000000
radix,77,3.0635040,10, 100000000
quick,78,3.1210600,11, 100000000
radix,78,3.1210600,8, 100000000
quick,79,3.1234770,12, 100000000
radix,79,3.1234770,9, 100000000
quick,80,3.1323310,12, 100000000
radix,80,3.1323310,9, 100000000
quick,81,3.1052200,14, 100000000
radix,81,3.1052200,10, 100000000
quick,82,3.0393170,21, 100000000
radix,82,3.0393170,9, 100000000
quick,83,3.1076580,18, 100000000
radix,83,3.1076580,8, 100000000
quick,84,3.1349900,11, 100000000
radix,84,3.1349900,10, 100000000
quick,85,3.1101130,19, 100000000
radix,85,3.1101130,8, 100000000
quick,86,3.0673590,10, 100000000
radix,86,3.0673590,8, 100000000
quick,87,3.1245450,18, 100000000
radix,87,3.1245450,7, 100000000
quick,88,3.0405340,11, 100000000
radix,88,3.0405340,9, 100000000
quick,89,3.1371260,19, 100000000
radix,89,3.1371260,9, 100000000
quick,90,3.1727800,15, 100000000
radix,90,3.1727800,10, 100000000
quick,91,3.0781360,13, 100000000
radix,91,3.0781360,18, 100000000
quick,92,3.1752010,11, 100000000
radix,92,3.1752010,9, 100000000
quick,93,3.1483100,14, 100000000
