s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,2.8275740,8, 100000000
radix,1,2.8275740,7, 100000000
quick,2,2.8281710,10, 100000000
radix,2,2.8281710,7, 100000000
quick,3,2.8075690,10, 100000000
radix,3,2.8075690,8, 100000000
quick,4,2.8814200,17, 100000000
radix,4,2.8814200,7, 100000000
quick,5,2.8175080,9, 100000000
radix,5,2.8175080,8, 100000000
quick,6,2.8085440,9, 100000000
radix,6,2.8085440,6, 100000000
quick,7,2.8193840,9, 100000000
radix,7,2.8193840,6, 100000000
quick,8,2.8057450,18, 100000000
radix,8,2.8057450,17, 100000000
quick,9,2.8141780,8, 100000000
radix,9,2.8141780,6, 100000000
quick,10,2.8155940,9, 100000000
radix,10,2.8155940,6, 100000000
quick,11,2.8015480,9, 100000000
radix,11,2.8015480,6, 100000000
quick,12,2.8146080,8, 100000000
radix,12,2.8146080,6, 100000000
quick,13,2.8154450,8, 100000000
radix,13,2.8154450,6, 100000000
quick,14,2.8215260,10, 100000000
radix,14,2.8215260,9, 100000000
quick,15,2.8224000,27, 100000000
radix,15,2.8224000,7, 100000000
quick,16,2.8349400,18, 100000000
radix,16,2.8349400,9, 100000000
quick,17,2.8211820,9, 100000000
radix,17,2.8211820,6, 100000000
quick,18,2.8128080,17, 100000000
radix,18,2.8128080,7, 100000000
quick,19,2.8179280,19, 100000000
radix,19,2.8179280,9, 100000000
quick,20,2.8061000,20, 100000000
radix,20,2.8061000,9, 100000000
quick,21,2.8109870,11, 100000000
radix,21,2.8109870,8, 100000000
quick,22,2.7989260,20, 100000000
radix,22,2.7989260,10, 100000000
quick,23,2.8056560,19, 100000000
radix,23,2.8056560,10, 100000000
quick,24,2.7931670,9, 100000000
radix,24,2.7931670,6, 100000000
quick,25,2.8071690,10, 100000000
radix,25,2.8071690,10, 100000000
quick,26,2.8008370,19, 100000000
radix,26,2.8008370,49, 100000000
quick,27,2.8110750,8, 100000000
radix,27,2.8110750,6, 100000000
quick,28,2.8179060,8, 100000000
radix,28,2.8179060,6, 100000000
quick,29,2.7996810,17, 100000000
radix,29,2.7996810,7, 100000000
quick,30,2.8095250,10, 100000000
radix,30,2.8095250,22, 100000000
quick,31,2.8153410,9, 100000000
radix,31,2.8153410,7, 100000000
quick,32,2.8111810,10, 100000000
radix,32,2.8111810,7, 100000000
quick,33,2.7975080,8, 100000000
radix,33,2.7975080,6, 100000000
quick,34,2.8107010,17, 100000000
radix,34,2.8107010,7, 100000000
quick,35,2.7971180,18, 100000000
radix,35,2.7971180,8, 100000000
quick,36,2.8000030,9, 100000000
radix,36,2.8000030,7, 100000000
quick,37,2.8082260,8, 100000000
radix,37,2.8082260,6, 100000000
quick,38,2.8141460,8, 100000000
radix,38,2.8141460,6, 100000000
quick,39,2.8048610,14, 100000000
radix,39,2.8048610,12, 100000000
quick,40,2.7870060,17, 100000000
radix,40,2.7870060,8, 100000000
