s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,2.9607130,46, 100000000
radix,1,2.9607130,8, 100000000
quick,2,2.9064340,8, 100000000
radix,2,2.9064340,8, 100000000
quick,3,2.9102870,9, 100000000
radix,3,2.9102870,8, 100000000
quick,4,2.9027540,9, 100000000
radix,4,2.9027540,18, 100000000
quick,5,2.9006300,11, 100000000
radix,5,2.9006300,10, 100000000
quick,6,2.8837500,9, 100000000
radix,6,2.8837500,17, 100000000
quick,7,2.9349340,8, 100000000
radix,7,2.9349340,7, 100000000
quick,8,2.8828810,9, 100000000
radix,8,2.8828810,8, 100000000
quick,9,2.8816830,18, 100000000
radix,9,2.8816830,16, 100000000
quick,10,2.8852700,8, 100000000
radix,10,2.8852700,7, 100000000
quick,11,2.8976850,9, 100000000
radix,11,2.8976850,7, 100000000
quick,12,2.8811630,17, 100000000
radix,12,2.8811630,10, 100000000
quick,13,2.8852370,8, 100000000
radix,13,2.8852370,7, 100000000
quick,14,2.8880550,12, 100000000
radix,14,2.8880550,9, 100000000
quick,15,2.8906050,11, 100000000
radix,15,2.8906050,10, 100000000
quick,16,2.8877070,16, 100000000
radix,16,2.8877070,9, 100000000
quick,17,2.8874390,13, 100000000
radix,17,2.8874390,11, 100000000
quick,18,2.8881520,11, 100000000
radix,18,2.8881520,9, 100000000
quick,19,2.8757910,8, 100000000
radix,19,2.8757910,43, 100000000
quick,20,2.8836550,8, 100000000
radix,20,2.8836550,8, 100000000
quick,21,2.8730200,9, 100000000
radix,21,2.8730200,8, 100000000
quick,22,2.8744910,8, 100000000
radix,22,2.8744910,7, 100000000
quick,23,2.8802900,8, 100000000
radix,23,2.8802900,7, 100000000
quick,24,2.8640200,8, 100000000
radix,24,2.8640200,8, 100000000
quick,25,2.8669430,12, 100000000
radix,25,2.8669430,28, 100000000
quick,26,2.8555680,8, 100000000
radix,26,2.8555680,7, 100000000
quick,27,2.8746780,10, 100000000
radix,27,2.8746780,7, 100000000
quick,28,2.8748830,10, 100000000
radix,28,2.8748830,8, 100000000
quick,29,2.8893510,11, 100000000
radix,29,2.8893510,9, 100000000
quick,30,2.8765550,8, 100000000
radix,30,2.8765550,8, 100000000
quick,31,2.8824460,9, 100000000
radix,31,2.8824460,9, 100000000
quick,32,2.8759640,10, 100000000
radix,32,2.8759640,8, 100000000
quick,33,2.8875850,9, 100000000
radix,33,2.8875850,9, 100000000
quick,34,2.9099460,33, 100000000
radix,34,2.9099460,9, 100000000
quick,35,2.9042240,9, 100000000
radix,35,2.9042240,23, 100000000
quick,36,2.8691390,8, 100000000
radix,36,2.8691390,7, 100000000
quick,37,2.8839380,8, 100000000
radix,37,2.8839380,7, 100000000
quick,38,2.8627800,9, 100000000
radix,38,2.8627800,7, 100000000
quick,39,2.8826220,9, 100000000
radix,39,2.8826220,7, 100000000
quick,40,2.8710990,18, 100000000
radix,40,2.8710990,10, 100000000
quick,41,2.8721830,13, 100000000
radix,41,2.8721830,12, 100000000
quick,42,2.8686220,11, 100000000
radix,42,2.8686220,11, 100000000
quick,43,2.8776590,8, 100000000
radix,43,2.8776590,7, 100000000
quick,44,2.8694290,10, 100000000
radix,44,2.8694290,9, 100000000
quick,45,2.8772470,9, 100000000
radix,45,2.8772470,8, 100000000
quick,46,2.8688460,8, 100000000
radix,46,2.8688460,8, 100000000
quick,47,2.8627790,17, 100000000
radix,47,2.8627790,19, 100000000
quick,48,2.8659750,10, 100000000
radix,48,2.8659750,8, 100000000
quick,49,2.8706590,8, 100000000
radix,49,2.8706590,8, 100000000
quick,50,2.8641850,8, 100000000
radix,50,2.8641850,7, 100000000
quick,51,2.8604570,9, 100000000
radix,51,2.8604570,8, 100000000
quick,52,2.8576570,57, 100000000
radix,52,2.8576570,9, 100000000
quick,53,2.8735550,11, 100000000
radix,53,2.8735550,14, 100000000
quick,54,2.9437350,8, 100000000
radix,54,2.9437350,7, 100000000
quick,55,2.9318380,11, 100000000
radix,55,2.9318380,11, 100000000
quick,56,2.9138660,10, 100000000
radix,56,2.9138660,9, 100000000
quick,57,2.8979720,11, 100000000
radix,57,2.8979720,10, 100000000
