s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,3.2148440,12, 100000000
radix,1,3.2148440,12, 100000000
quick,2,3.0322070,11, 100000000
radix,2,3.0322070,17, 100000000
quick,3,3.0224470,10, 100000000
radix,3,3.0224470,49, 100000000
quick,4,3.0371620,66, 100000000
radix,4,3.0371620,17, 100000000
quick,5,3.0494380,25, 100000000
radix,5,3.0494380,19, 100000000
quick,6,3.0580920,18, 100000000
radix,6,3.0580920,16, 100000000
quick,7,3.0178950,22, 100000000
radix,7,3.0178950,25, 100000000
quick,8,3.0318450,17, 100000000
radix,8,3.0318450,23, 100000000
quick,9,3.0378930,13, 100000000
radix,9,3.0378930,42, 100000000
quick,10,3.0349430,17, 100000000
radix,10,3.0349430,29, 100000000
