n_universo, k, tiempo (micro segundos), iteracion, cantidad_valores_en_arreglo
31,1,121,1, 1000000
31,2,14,1, 1000000
31,3,9,1, 1000000
31,4,6,1, 1000000
31,5,5,1, 1000000
31,6,4,1, 1000000
31,7,4,1, 1000000
31,8,3,1, 1000000
31,9,3,1, 1000000
31,10,3,1, 1000000
31,11,3,1, 1000000
31,12,2,1, 1000000
31,13,2,1, 1000000
31,14,2,1, 1000000
31,15,2,1, 1000000
31,16,2,1, 1000000
31,17,2,1, 1000000
31,18,1,1, 1000000
31,19,2,1, 1000000
31,20,2,1, 1000000
31,21,2,1, 1000000
31,22,2,1, 1000000
31,23,2,1, 1000000
31,24,1,1, 1000000
31,25,2,1, 1000000
31,26,2,1, 1000000
31,27,2,1, 1000000
31,28,1,1, 1000000
31,29,1,1, 1000000
31,30,1,1, 1000000
31,31,1,1, 1000000
31,32,1,1, 1000000
31,1,25,2, 1000000
31,2,32,2, 1000000
31,3,8,2, 1000000
31,4,6,2, 1000000
31,5,5,2, 1000000
31,6,4,2, 1000000
31,7,4,2, 1000000
31,8,3,2, 1000000
31,9,3,2, 1000000
31,10,3,2, 1000000
31,11,2,2, 1000000
31,12,2,2, 1000000
31,13,2,2, 1000000
31,14,2,2, 1000000
31,15,2,2, 1000000
31,16,1,2, 1000000
31,17,1,2, 1000000
31,18,1,2, 1000000
31,19,1,2, 1000000
31,20,1,2, 1000000
31,21,1,2, 1000000
31,22,1,2, 1000000
31,23,1,2, 1000000
31,24,1,2, 1000000
31,25,1,2, 1000000
31,26,1,2, 1000000
31,27,1,2, 1000000
31,28,1,2, 1000000
31,29,1,2, 1000000
31,30,1,2, 1000000
31,31,1,2, 1000000
31,32,1,2, 1000000
31,1,31,3, 1000000
31,2,11,3, 1000000
31,3,8,3, 1000000
31,4,6,3, 1000000
31,5,5,3, 1000000
31,6,4,3, 1000000
31,7,55,3, 1000000
31,8,3,3, 1000000
31,9,3,3, 1000000
31,10,3,3, 1000000
31,11,21,3, 1000000
31,12,2,3, 1000000
31,13,2,3, 1000000
31,14,2,3, 1000000
31,15,2,3, 1000000
31,16,1,3, 1000000
31,17,1,3, 1000000
31,18,1,3, 1000000
31,19,1,3, 1000000
31,20,1,3, 1000000
31,21,2,3, 1000000
31,22,1,3, 1000000
31,23,1,3, 1000000
31,24,1,3, 1000000
31,25,1,3, 1000000
31,26,1,3, 1000000
31,27,1,3, 1000000
31,28,1,3, 1000000
31,29,1,3, 1000000
31,30,1,3, 1000000
31,31,1,3, 1000000
