n_universo, k, tiempo (micro segundos), iteracion, cantidad_valores_en_arreglo
19,1,49,1, 1000000
19,2,26,1, 1000000
19,3,11,1, 1000000
19,4,8,1, 1000000
19,5,7,1, 1000000
19,6,5,1, 1000000
19,7,5,1, 1000000
19,8,4,1, 1000000
19,9,4,1, 1000000
19,10,4,1, 1000000
19,11,3,1, 1000000
19,12,3,1, 1000000
19,13,2,1, 1000000
19,14,2,1, 1000000
19,15,3,1, 1000000
19,16,2,1, 1000000
19,17,2,1, 1000000
19,18,2,1, 1000000
19,19,2,1, 1000000
19,20,2,1, 1000000
19,1,49,2, 1000000
19,2,22,2, 1000000
19,3,16,2, 1000000
19,4,11,2, 1000000
19,5,10,2, 1000000
19,6,8,2, 1000000
19,7,7,2, 1000000
19,8,6,2, 1000000
19,9,6,2, 1000000
19,10,5,2, 1000000
19,11,4,2, 1000000
19,12,4,2, 1000000
19,13,4,2, 1000000
19,14,4,2, 1000000
19,15,4,2, 1000000
19,16,3,2, 1000000
19,17,3,2, 1000000
19,18,3,2, 1000000
19,19,3,2, 1000000
19,20,3,2, 1000000
19,1,63,3, 1000000
19,2,19,3, 1000000
19,3,12,3, 1000000
19,4,9,3, 1000000
19,5,8,3, 1000000
19,6,6,3, 1000000
19,7,6,3, 1000000
19,8,5,3, 1000000
19,9,5,3, 1000000
19,10,4,3, 1000000
19,11,4,3, 1000000
19,12,4,3, 1000000
19,13,3,3, 1000000
19,14,3,3, 1000000
19,15,3,3, 1000000
19,16,2,3, 1000000
19,17,2,3, 1000000
19,18,2,3, 1000000
19,19,2,3, 1000000
19,20,3,3, 1000000
19,1,56,4, 1000000
19,2,19,4, 1000000
19,3,13,4, 1000000
19,4,10,4, 1000000
19,5,8,4, 1000000
19,6,7,4, 1000000
19,7,6,4, 1000000
19,8,5,4, 1000000
19,9,5,4, 1000000
19,10,4,4, 1000000
19,11,4,4, 1000000
19,12,4,4, 1000000
19,13,3,4, 1000000
19,14,3,4, 1000000
19,15,3,4, 1000000
19,16,3,4, 1000000
19,17,2,4, 1000000
19,18,2,4, 1000000
19,19,2,4, 1000000
19,20,2,4, 1000000
19,1,39,5, 1000000
19,2,18,5, 1000000
19,3,25,5, 1000000
19,4,13,5, 1000000
19,5,8,5, 1000000
19,6,6,5, 1000000
19,7,95,5, 1000000
19,8,29,5, 1000000
19,9,27,5, 1000000
19,10,25,5, 1000000
19,11,22,5, 1000000
19,12,21,5, 1000000
19,13,19,5, 1000000
19,14,18,5, 1000000
19,15,19,5, 1000000
19,16,15,5, 1000000
19,17,15,5, 1000000
19,18,16,5, 1000000
19,19,15,5, 1000000
19,20,3,5, 1000000
19,1,59,6, 1000000
19,2,23,6, 1000000
19,3,16,6, 1000000
19,4,30,6, 1000000
19,5,8,6, 1000000
19,6,7,6, 1000000
19,7,6,6, 1000000
19,8,5,6, 1000000
19,9,5,6, 1000000
19,10,5,6, 1000000
19,11,4,6, 1000000
19,12,4,6, 1000000
19,13,3,6, 1000000
19,14,3,6, 1000000
19,15,3,6, 1000000
19,16,2,6, 1000000
19,17,2,6, 1000000
19,18,2,6, 1000000
19,19,2,6, 1000000
19,20,2,6, 1000000
19,1,107,7, 1000000
19,2,21,7, 1000000
19,3,14,7, 1000000
19,4,11,7, 1000000
19,5,9,7, 1000000
19,6,7,7, 1000000
19,7,7,7, 1000000
19,8,6,7, 1000000
19,9,6,7, 1000000
19,10,5,7, 1000000
19,11,4,7, 1000000
19,12,4,7, 1000000
19,13,3,7, 1000000
19,14,3,7, 1000000
19,15,3,7, 1000000
19,16,3,7, 1000000
19,17,3,7, 1000000
19,18,3,7, 1000000
19,19,3,7, 1000000
19,20,3,7, 1000000
19,1,47,8, 1000000
19,2,18,8, 1000000
19,3,55,8, 1000000
19,4,9,8, 1000000
19,5,6,8, 1000000
19,6,5,8, 1000000
19,7,5,8, 1000000
19,8,4,8, 1000000
19,9,4,8, 1000000
19,10,3,8, 1000000
19,11,3,8, 1000000
19,12,3,8, 1000000
19,13,2,8, 1000000
19,14,2,8, 1000000
19,15,2,8, 1000000
19,16,2,8, 1000000
19,17,2,8, 1000000
19,18,2,8, 1000000
19,19,2,8, 1000000
19,20,2,8, 1000000
19,1,47,9, 1000000
19,2,18,9, 1000000
19,3,13,9, 1000000
19,4,16,9, 1000000
19,5,6,9, 1000000
19,6,5,9, 1000000
19,7,5,9, 1000000
19,8,4,9, 1000000
19,9,4,9, 1000000
19,10,3,9, 1000000
19,11,3,9, 1000000
19,12,3,9, 1000000
19,13,2,9, 1000000
19,14,2,9, 1000000
19,15,2,9, 1000000
19,16,2,9, 1000000
19,17,2,9, 1000000
19,18,2,9, 1000000
19,19,2,9, 1000000
19,20,2,9, 1000000
19,1,122,10, 1000000
19,2,17,10, 1000000
19,3,12,10, 1000000
19,4,9,10, 1000000
19,5,7,10, 1000000
19,6,6,10, 1000000
19,7,5,10, 1000000
19,8,5,10, 1000000
19,9,4,10, 1000000
19,10,4,10, 1000000
19,11,3,10, 1000000
19,12,3,10, 1000000
19,13,3,10, 1000000
19,14,3,10, 1000000
19,15,3,10, 1000000
19,16,2,10, 1000000
19,17,2,10, 1000000
19,18,2,10, 1000000
19,19,2,10, 1000000
19,20,2,10, 1000000
