s_name,repeticion,gen_time(s),sort_time(us)
quick,1,2.6756330,17
radix,1,2.6756330,9
quick,2,2.7185030,8
radix,2,2.7185030,11
quick,3,2.6872580,8
radix,3,2.6872580,8
quick,4,2.6856510,10
radix,4,2.6856510,12
quick,5,2.6909380,9
radix,5,2.6909380,9
quick,6,2.6807020,9
radix,6,2.6807020,12
quick,7,2.6935250,10
radix,7,2.6935250,13
quick,8,2.6850030,12
radix,8,2.6850030,15
quick,9,2.6915890,9
radix,9,2.6915890,8
quick,10,2.6787660,10
radix,10,2.6787660,9
quick,11,2.6849010,8
radix,11,2.6849010,8
quick,12,2.6783180,10
radix,12,2.6783180,9
quick,13,2.6874760,17
radix,13,2.6874760,16
quick,14,2.6836050,9
radix,14,2.6836050,28
quick,15,2.7255880,9
radix,15,2.7255880,9
quick,16,2.6941820,10
radix,16,2.6941820,16
quick,17,2.6809420,9
radix,17,2.6809420,12
quick,18,2.6840820,10
radix,18,2.6840820,10
quick,19,2.6773420,17
radix,19,2.6773420,9
quick,20,2.6794860,9
radix,20,2.6794860,8
quick,21,2.6771210,18
radix,21,2.6771210,18
quick,22,2.6835390,18
radix,22,2.6835390,20
quick,23,2.6722390,9
radix,23,2.6722390,8
quick,24,2.6853190,8
radix,24,2.6853190,11
quick,25,2.6725210,9
radix,25,2.6725210,9
quick,26,2.6850040,9
radix,26,2.6850040,12
quick,27,2.6798250,10
radix,27,2.6798250,10
quick,28,2.6835560,9
radix,28,2.6835560,87
quick,29,2.6898690,18
radix,29,2.6898690,17
quick,30,2.6862890,17
radix,30,2.6862890,9
quick,31,2.6891340,10
radix,31,2.6891340,11
quick,32,2.6877540,9
radix,32,2.6877540,8
quick,33,2.6885940,9
radix,33,2.6885940,8
quick,34,2.6759390,9
radix,34,2.6759390,9
quick,35,2.6903000,9
radix,35,2.6903000,9
quick,36,2.6854870,18
radix,36,2.6854870,11
quick,37,2.6872550,9
radix,37,2.6872550,19
quick,38,2.6891560,11
radix,38,2.6891560,12
quick,39,2.6884660,10
radix,39,2.6884660,11
quick,40,2.6907720,9
radix,40,2.6907720,9
quick,41,2.6828380,10
radix,41,2.6828380,8
quick,42,2.6880860,8
radix,42,2.6880860,8
quick,43,2.6859560,9
radix,43,2.6859560,22
quick,44,2.6946070,17
radix,44,2.6946070,13
quick,45,2.6805830,8
radix,45,2.6805830,9
quick,46,2.6878250,9
radix,46,2.6878250,8
quick,47,2.6859930,13
radix,47,2.6859930,14
quick,48,2.6942710,16
radix,48,2.6942710,16
quick,49,2.6798310,9
radix,49,2.6798310,9
quick,50,2.6895680,10
radix,50,2.6895680,11
quick,51,2.6990950,16
radix,51,2.6990950,20
quick,52,2.6829900,19
radix,52,2.6829900,14
quick,53,2.6829220,10
radix,53,2.6829220,11
quick,54,2.6844400,9
radix,54,2.6844400,9
quick,55,2.6917870,8
radix,55,2.6917870,8
quick,56,2.7422350,9
radix,56,2.7422350,19
quick,57,2.6930990,8
radix,57,2.6930990,8
quick,58,2.9482100,10
radix,58,2.9482100,9
quick,59,2.9830520,8
radix,59,2.9830520,9
quick,60,2.7098060,9
radix,60,2.7098060,13
quick,61,2.7078680,9
radix,61,2.7078680,9
quick,62,2.7084050,9
radix,62,2.7084050,9
quick,63,2.7086740,10
radix,63,2.7086740,11
quick,64,2.7123690,9
radix,64,2.7123690,11
quick,65,2.7104550,17
radix,65,2.7104550,9
quick,66,2.7076630,11
radix,66,2.7076630,12
quick,67,2.7171150,9
radix,67,2.7171150,11
quick,68,2.7164020,10
radix,68,2.7164020,50
quick,69,2.7250080,9
radix,69,2.7250080,8
quick,70,2.7289850,9
radix,70,2.7289850,8
quick,71,2.7384430,8
radix,71,2.7384430,8
quick,72,2.7358430,9
radix,72,2.7358430,10
quick,73,2.7314630,9
radix,73,2.7314630,19
quick,74,2.7419690,10
radix,74,2.7419690,9
quick,75,2.7389840,8
radix,75,2.7389840,8
quick,76,2.7470420,9
radix,76,2.7470420,11
quick,77,2.7412620,9
radix,77,2.7412620,12
quick,78,2.7321320,9
radix,78,2.7321320,11
quick,79,2.7307460,10
radix,79,2.7307460,20
quick,80,2.7420500,8
radix,80,2.7420500,8
quick,81,2.7595510,10
radix,81,2.7595510,10
quick,82,2.7524730,9
radix,82,2.7524730,9
quick,83,2.7627050,9
radix,83,2.7627050,9
quick,84,2.7664500,9
radix,84,2.7664500,9
quick,85,2.7601720,16
radix,85,2.7601720,19
quick,86,2.7693050,9
radix,86,2.7693050,63
quick,87,2.7634980,70
radix,87,2.7634980,12
quick,88,2.7564920,9
radix,88,2.7564920,8
quick,89,2.7493620,9
radix,89,2.7493620,9
quick,90,2.7617660,9
radix,90,2.7617660,20
quick,91,2.7520730,17
radix,91,2.7520730,17
quick,92,2.7640650,12
radix,92,2.7640650,45
quick,93,2.7605350,8
radix,93,2.7605350,9
quick,94,2.7474130,8
radix,94,2.7474130,8
quick,95,2.7595360,8
radix,95,2.7595360,9
quick,96,2.7715930,9
radix,96,2.7715930,8
quick,97,2.7645810,15
radix,97,2.7645810,20
quick,98,2.7594720,10
radix,98,2.7594720,12
quick,99,2.7521100,10
radix,99,2.7521100,8
quick,100,2.7383060,8
radix,100,2.7383060,9
