n_universo, k, tiempo (micro segundos), iteracion, cantidad_valores_en_arreglo
6,1,41,1, 1000000
6,2,13,1, 1000000
6,3,9,1, 1000000
6,4,6,1, 1000000
6,5,5,1, 1000000
6,6,4,1, 1000000
6,7,4,1, 1000000
6,1,39,2, 1000000
6,2,22,2, 1000000
6,3,8,2, 1000000
6,4,6,2, 1000000
6,5,5,2, 1000000
6,6,5,2, 1000000
6,7,4,2, 1000000
6,1,36,3, 1000000
6,2,13,3, 1000000
6,3,9,3, 1000000
6,4,6,3, 1000000
6,5,5,3, 1000000
6,6,4,3, 1000000
6,7,4,3, 1000000
6,1,29,4, 1000000
6,2,13,4, 1000000
6,3,26,4, 1000000
6,4,22,4, 1000000
6,5,5,4, 1000000
6,6,24,4, 1000000
6,7,6,4, 1000000
6,1,25,5, 1000000
6,2,11,5, 1000000
6,3,7,5, 1000000
6,4,5,5, 1000000
6,5,4,5, 1000000
6,6,4,5, 1000000
6,7,48,5, 1000000
6,1,72,6, 1000000
6,2,12,6, 1000000
6,3,8,6, 1000000
6,4,6,6, 1000000
6,5,5,6, 1000000
6,6,4,6, 1000000
6,7,4,6, 1000000
6,1,39,7, 1000000
6,2,20,7, 1000000
6,3,9,7, 1000000
6,4,6,7, 1000000
6,5,5,7, 1000000
6,6,4,7, 1000000
6,7,4,7, 1000000
6,1,41,8, 1000000
6,2,16,8, 1000000
6,3,18,8, 1000000
6,4,6,8, 1000000
6,5,5,8, 1000000
6,6,4,8, 1000000
6,7,4,8, 1000000
6,1,42,9, 1000000
6,2,16,9, 1000000
6,3,11,9, 1000000
6,4,27,9, 1000000
6,5,5,9, 1000000
6,6,4,9, 1000000
6,7,4,9, 1000000
6,1,37,10, 1000000
6,2,14,10, 1000000
6,3,18,10, 1000000
6,4,6,10, 1000000
6,5,5,10, 1000000
6,6,4,10, 1000000
6,7,4,10, 1000000
