n_universo, k, tiempo (micro segundos), iteracion, cantidad_valores_en_arreglo
55,1,56,1, 1000000
55,2,19,1, 1000000
55,3,13,1, 1000000
55,4,10,1, 1000000
55,5,8,1, 1000000
55,6,7,1, 1000000
55,7,6,1, 1000000
55,8,5,1, 1000000
55,9,5,1, 1000000
55,10,4,1, 1000000
55,11,65,1, 1000000
55,12,22,1, 1000000
55,13,41,1, 1000000
55,14,3,1, 1000000
55,15,3,1, 1000000
55,16,3,1, 1000000
55,17,3,1, 1000000
55,18,3,1, 1000000
55,19,3,1, 1000000
55,20,3,1, 1000000
55,21,3,1, 1000000
55,22,2,1, 1000000
55,23,2,1, 1000000
55,24,2,1, 1000000
55,25,2,1, 1000000
55,26,2,1, 1000000
55,27,2,1, 1000000
55,28,2,1, 1000000
55,29,2,1, 1000000
55,30,2,1, 1000000
55,31,2,1, 1000000
55,32,1,1, 1000000
55,33,1,1, 1000000
55,34,1,1, 1000000
55,35,1,1, 1000000
55,36,1,1, 1000000
55,37,1,1, 1000000
55,38,1,1, 1000000
55,39,1,1, 1000000
55,40,1,1, 1000000
55,41,1,1, 1000000
55,42,1,1, 1000000
55,43,1,1, 1000000
55,44,1,1, 1000000
55,45,1,1, 1000000
55,46,1,1, 1000000
55,47,1,1, 1000000
55,48,2,1, 1000000
55,49,2,1, 1000000
55,50,2,1, 1000000
55,51,2,1, 1000000
55,52,2,1, 1000000
55,53,2,1, 1000000
55,54,3,1, 1000000
55,55,2,1, 1000000
55,56,2,1, 1000000
55,1,70,2, 1000000
55,2,24,2, 1000000
55,3,23,2, 1000000
55,4,19,2, 1000000
55,5,15,2, 1000000
55,6,13,2, 1000000
55,7,12,2, 1000000
55,8,9,2, 1000000
55,9,9,2, 1000000
55,10,8,2, 1000000
55,11,7,2, 1000000
55,12,7,2, 1000000
55,13,6,2, 1000000
55,14,6,2, 1000000
55,15,6,2, 1000000
55,16,4,2, 1000000
55,17,4,2, 1000000
55,18,5,2, 1000000
55,19,4,2, 1000000
55,20,5,2, 1000000
55,21,4,2, 1000000
55,22,3,2, 1000000
55,23,3,2, 1000000
55,24,3,2, 1000000
55,25,3,2, 1000000
55,26,3,2, 1000000
55,27,3,2, 1000000
55,28,3,2, 1000000
55,29,4,2, 1000000
55,30,4,2, 1000000
55,31,4,2, 1000000
55,32,3,2, 1000000
55,33,2,2, 1000000
55,34,2,2, 1000000
55,35,3,2, 1000000
55,36,3,2, 1000000
55,37,2,2, 1000000
55,38,3,2, 1000000
55,39,2,2, 1000000
55,40,3,2, 1000000
55,41,2,2, 1000000
55,42,2,2, 1000000
55,43,2,2, 1000000
55,44,2,2, 1000000
55,45,2,2, 1000000
55,46,2,2, 1000000
55,47,2,2, 1000000
55,48,2,2, 1000000
55,49,2,2, 1000000
55,50,3,2, 1000000
55,51,2,2, 1000000
55,52,2,2, 1000000
55,53,2,2, 1000000
55,54,2,2, 1000000
55,55,2,2, 1000000
55,56,2,2, 1000000
