n_universo, k, tiempo (micro segundos), iteracion, cantidad_valores_en_arreglo
30,1,38,1, 1000000
30,2,14,1, 1000000
30,3,8,1, 1000000
30,4,6,1, 1000000
30,5,5,1, 1000000
30,6,4,1, 1000000
30,7,4,1, 1000000
30,8,3,1, 1000000
30,9,3,1, 1000000
30,10,3,1, 1000000
30,11,2,1, 1000000
30,12,2,1, 1000000
30,13,2,1, 1000000
30,14,2,1, 1000000
30,15,2,1, 1000000
30,16,1,1, 1000000
30,17,2,1, 1000000
30,18,2,1, 1000000
30,19,2,1, 1000000
30,20,2,1, 1000000
30,21,1,1, 1000000
30,22,1,1, 1000000
30,23,1,1, 1000000
30,24,1,1, 1000000
30,25,1,1, 1000000
30,26,1,1, 1000000
30,27,1,1, 1000000
30,28,1,1, 1000000
30,29,1,1, 1000000
30,30,1,1, 1000000
30,31,1,1, 1000000
30,1,54,2, 1000000
30,2,12,2, 1000000
30,3,96,2, 1000000
30,4,47,2, 1000000
30,5,5,2, 1000000
30,6,4,2, 1000000
30,7,4,2, 1000000
30,8,3,2, 1000000
30,9,3,2, 1000000
30,10,3,2, 1000000
30,11,2,2, 1000000
30,12,2,2, 1000000
30,13,2,2, 1000000
30,14,2,2, 1000000
30,15,2,2, 1000000
30,16,1,2, 1000000
30,17,1,2, 1000000
30,18,1,2, 1000000
30,19,1,2, 1000000
30,20,1,2, 1000000
30,21,1,2, 1000000
30,22,1,2, 1000000
30,23,1,2, 1000000
30,24,1,2, 1000000
30,25,1,2, 1000000
30,26,1,2, 1000000
30,27,1,2, 1000000
30,28,1,2, 1000000
30,29,1,2, 1000000
30,30,1,2, 1000000
30,31,1,2, 1000000
30,1,48,3, 1000000
30,2,12,3, 1000000
30,3,8,3, 1000000
30,4,6,3, 1000000
30,5,5,3, 1000000
30,6,4,3, 1000000
30,7,4,3, 1000000
30,8,3,3, 1000000
30,9,3,3, 1000000
30,10,3,3, 1000000
30,11,2,3, 1000000
30,12,2,3, 1000000
30,13,2,3, 1000000
30,14,2,3, 1000000
30,15,2,3, 1000000
30,16,1,3, 1000000
30,17,1,3, 1000000
30,18,1,3, 1000000
30,19,1,3, 1000000
30,20,1,3, 1000000
30,21,1,3, 1000000
30,22,1,3, 1000000
30,23,1,3, 1000000
30,24,1,3, 1000000
30,25,1,3, 1000000
30,26,1,3, 1000000
30,27,1,3, 1000000
30,28,1,3, 1000000
30,29,1,3, 1000000
30,30,1,3, 1000000
30,31,1,3, 1000000
30,1,33,4, 1000000
30,2,13,4, 1000000
30,3,9,4, 1000000
30,4,6,4, 1000000
30,5,5,4, 1000000
30,6,4,4, 1000000
30,7,4,4, 1000000
30,8,3,4, 1000000
30,9,3,4, 1000000
30,10,3,4, 1000000
30,11,2,4, 1000000
30,12,2,4, 1000000
30,13,2,4, 1000000
30,14,2,4, 1000000
30,15,2,4, 1000000
30,16,2,4, 1000000
30,17,2,4, 1000000
30,18,2,4, 1000000
30,19,1,4, 1000000
30,20,2,4, 1000000
30,21,2,4, 1000000
30,22,1,4, 1000000
30,23,1,4, 1000000
30,24,1,4, 1000000
30,25,1,4, 1000000
30,26,1,4, 1000000
30,27,1,4, 1000000
30,28,1,4, 1000000
30,29,1,4, 1000000
30,30,1,4, 1000000
30,31,1,4, 1000000
30,1,77,5, 1000000
30,2,12,5, 1000000
30,3,8,5, 1000000
30,4,6,5, 1000000
30,5,5,5, 1000000
30,6,4,5, 1000000
30,7,4,5, 1000000
30,8,3,5, 1000000
30,9,3,5, 1000000
30,10,3,5, 1000000
30,11,2,5, 1000000
30,12,2,5, 1000000
30,13,2,5, 1000000
30,14,2,5, 1000000
30,15,2,5, 1000000
30,16,1,5, 1000000
30,17,1,5, 1000000
30,18,2,5, 1000000
30,19,1,5, 1000000
30,20,1,5, 1000000
30,21,1,5, 1000000
30,22,1,5, 1000000
30,23,1,5, 1000000
30,24,1,5, 1000000
30,25,1,5, 1000000
30,26,1,5, 1000000
30,27,1,5, 1000000
30,28,1,5, 1000000
30,29,1,5, 1000000
30,30,1,5, 1000000
30,31,1,5, 1000000
30,1,41,6, 1000000
30,2,22,6, 1000000
30,3,9,6, 1000000
30,4,7,6, 1000000
30,5,6,6, 1000000
30,6,5,6, 1000000
30,7,4,6, 1000000
30,8,4,6, 1000000
30,9,3,6, 1000000
30,10,3,6, 1000000
30,11,3,6, 1000000
30,12,3,6, 1000000
30,13,2,6, 1000000
30,14,2,6, 1000000
30,15,2,6, 1000000
30,16,2,6, 1000000
30,17,2,6, 1000000
30,18,2,6, 1000000
30,19,2,6, 1000000
30,20,2,6, 1000000
30,21,2,6, 1000000
30,22,1,6, 1000000
30,23,1,6, 1000000
30,24,1,6, 1000000
30,25,1,6, 1000000
30,26,1,6, 1000000
30,27,1,6, 1000000
30,28,1,6, 1000000
30,29,1,6, 1000000
30,30,1,6, 1000000
30,31,1,6, 1000000
30,1,51,7, 1000000
30,2,13,7, 1000000
30,3,9,7, 1000000
30,4,7,7, 1000000
30,5,6,7, 1000000
30,6,5,7, 1000000
30,7,4,7, 1000000
30,8,3,7, 1000000
30,9,4,7, 1000000
30,10,3,7, 1000000
30,11,2,7, 1000000
30,12,2,7, 1000000
30,13,2,7, 1000000
30,14,2,7, 1000000
30,15,2,7, 1000000
30,16,2,7, 1000000
30,17,2,7, 1000000
30,18,2,7, 1000000
30,19,2,7, 1000000
30,20,2,7, 1000000
30,21,2,7, 1000000
30,22,1,7, 1000000
30,23,1,7, 1000000
30,24,1,7, 1000000
30,25,1,7, 1000000
30,26,1,7, 1000000
30,27,1,7, 1000000
30,28,1,7, 1000000
30,29,1,7, 1000000
30,30,1,7, 1000000
30,31,1,7, 1000000
30,1,108,8, 1000000
30,2,13,8, 1000000
30,3,9,8, 1000000
30,4,6,8, 1000000
30,5,5,8, 1000000
30,6,5,8, 1000000
30,7,4,8, 1000000
30,8,3,8, 1000000
30,9,3,8, 1000000
30,10,3,8, 1000000
30,11,3,8, 1000000
30,12,2,8, 1000000
30,13,2,8, 1000000
30,14,2,8, 1000000
30,15,2,8, 1000000
30,16,2,8, 1000000
30,17,2,8, 1000000
30,18,2,8, 1000000
30,19,2,8, 1000000
30,20,2,8, 1000000
30,21,39,8, 1000000
30,22,1,8, 1000000
30,23,1,8, 1000000
30,24,1,8, 1000000
30,25,1,8, 1000000
30,26,1,8, 1000000
30,27,1,8, 1000000
30,28,1,8, 1000000
30,29,1,8, 1000000
30,30,1,8, 1000000
30,31,1,8, 1000000
30,1,33,9, 1000000
30,2,12,9, 1000000
30,3,8,9, 1000000
30,4,6,9, 1000000
30,5,5,9, 1000000
30,6,4,9, 1000000
30,7,4,9, 1000000
30,8,3,9, 1000000
30,9,3,9, 1000000
30,10,3,9, 1000000
30,11,2,9, 1000000
30,12,2,9, 1000000
30,13,2,9, 1000000
30,14,2,9, 1000000
30,15,2,9, 1000000
30,16,2,9, 1000000
30,17,1,9, 1000000
30,18,1,9, 1000000
30,19,1,9, 1000000
30,20,1,9, 1000000
30,21,1,9, 1000000
30,22,1,9, 1000000
30,23,1,9, 1000000
30,24,1,9, 1000000
30,25,1,9, 1000000
30,26,1,9, 1000000
30,27,1,9, 1000000
30,28,1,9, 1000000
30,29,1,9, 1000000
30,30,1,9, 1000000
30,31,1,9, 1000000
30,1,35,10, 1000000
30,2,12,10, 1000000
30,3,8,10, 1000000
30,4,6,10, 1000000
