s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,0.0448100,18, 1000000
radix,1,0.0448100,48, 1000000
quick,2,0.0408540,15, 1000000
radix,2,0.0408540,49, 1000000
quick,3,0.0414070,11, 1000000
radix,3,0.0414070,44, 1000000
quick,4,0.0408970,14, 1000000
radix,4,0.0408970,43, 1000000
quick,5,0.0395750,12, 1000000
radix,5,0.0395750,36, 1000000
quick,6,0.0398710,10, 1000000
radix,6,0.0398710,34, 1000000
quick,7,0.0401040,18, 1000000
radix,7,0.0401040,47, 1000000
quick,8,0.0405590,13, 1000000
radix,8,0.0405590,47, 1000000
quick,9,0.0391010,14, 1000000
radix,9,0.0391010,43, 1000000
quick,10,0.0426210,18, 1000000
radix,10,0.0426210,48, 1000000
quick,11,0.0402080,13, 1000000
radix,11,0.0402080,43, 1000000
quick,12,0.0411560,18, 1000000
radix,12,0.0411560,45, 1000000
quick,13,0.0391890,19, 1000000
radix,13,0.0391890,50, 1000000
quick,14,0.0401040,18, 1000000
radix,14,0.0401040,43, 1000000
quick,15,0.0406590,11, 1000000
radix,15,0.0406590,81, 1000000
quick,16,0.0386990,20, 1000000
radix,16,0.0386990,47, 1000000
quick,17,0.0404910,20, 1000000
radix,17,0.0404910,43, 1000000
quick,18,0.0385190,18, 1000000
radix,18,0.0385190,52, 1000000
quick,19,0.0403780,22, 1000000
radix,19,0.0403780,50, 1000000
quick,20,0.0465140,14, 1000000
radix,20,0.0465140,67, 1000000
quick,21,0.0586610,19, 1000000
radix,21,0.0586610,99, 1000000
quick,22,0.0565550,20, 1000000
radix,22,0.0565550,110, 1000000
quick,23,0.0532570,19, 1000000
radix,23,0.0532570,49, 1000000
quick,24,0.0437350,19, 1000000
radix,24,0.0437350,50, 1000000
quick,25,0.0434080,18, 1000000
radix,25,0.0434080,48, 1000000
quick,26,0.0423250,19, 1000000
radix,26,0.0423250,39, 1000000
quick,27,0.0403570,23, 1000000
radix,27,0.0403570,55, 1000000
quick,28,0.0420270,22, 1000000
radix,28,0.0420270,51, 1000000
quick,29,0.0449910,25, 1000000
radix,29,0.0449910,54, 1000000
quick,30,0.0536440,17, 1000000
radix,30,0.0536440,60, 1000000
quick,31,0.0540630,24, 1000000
radix,31,0.0540630,49, 1000000
quick,32,0.0437620,13, 1000000
radix,32,0.0437620,35, 1000000
quick,33,0.0386240,16, 1000000
radix,33,0.0386240,70, 1000000
quick,34,0.0431060,20, 1000000
radix,34,0.0431060,56, 1000000
quick,35,0.0431710,20, 1000000
radix,35,0.0431710,43, 1000000
quick,36,0.0415660,22, 1000000
radix,36,0.0415660,53, 1000000
quick,37,0.0362680,11, 1000000
radix,37,0.0362680,67, 1000000
quick,38,0.0427460,25, 1000000
radix,38,0.0427460,76, 1000000
quick,39,0.0433540,22, 1000000
radix,39,0.0433540,56, 1000000
quick,40,0.0390590,10, 1000000
radix,40,0.0390590,29, 1000000
quick,41,0.0402830,10, 1000000
radix,41,0.0402830,31, 1000000
quick,42,0.0347910,51, 1000000
radix,42,0.0347910,109, 1000000
quick,43,0.0411840,10, 1000000
radix,43,0.0411840,34, 1000000
quick,44,0.0397120,10, 1000000
radix,44,0.0397120,29, 1000000
quick,45,0.0423430,11, 1000000
radix,45,0.0423430,36, 1000000
quick,46,0.0403550,19, 1000000
radix,46,0.0403550,47, 1000000
quick,47,0.0391030,31, 1000000
radix,47,0.0391030,79, 1000000
quick,48,0.0420820,10, 1000000
radix,48,0.0420820,43, 1000000
quick,49,0.0422160,11, 1000000
radix,49,0.0422160,44, 1000000
quick,50,0.0476280,20, 1000000
radix,50,0.0476280,77, 1000000
quick,51,0.0564780,25, 1000000
radix,51,0.0564780,64, 1000000
quick,52,0.0553200,19, 1000000
radix,52,0.0553200,44, 1000000
quick,53,0.0443340,18, 1000000
radix,53,0.0443340,47, 1000000
quick,54,0.0409820,10, 1000000
radix,54,0.0409820,39, 1000000
quick,55,0.0430740,22, 1000000
radix,55,0.0430740,38, 1000000
quick,56,0.0428210,26, 1000000
radix,56,0.0428210,48, 1000000
quick,57,0.0408100,17, 1000000
radix,57,0.0408100,42, 1000000
quick,58,0.0389720,19, 1000000
radix,58,0.0389720,48, 1000000
quick,59,0.0384570,14, 1000000
radix,59,0.0384570,48, 1000000
quick,60,0.0414750,22, 1000000
radix,60,0.0414750,56, 1000000
quick,61,0.0429500,20, 1000000
radix,61,0.0429500,51, 1000000
quick,62,0.0393490,19, 1000000
radix,62,0.0393490,48, 1000000
quick,63,0.0389180,12, 1000000
radix,63,0.0389180,37, 1000000
quick,64,0.0412250,20, 1000000
radix,64,0.0412250,52, 1000000
quick,65,0.0417220,32, 1000000
radix,65,0.0417220,50, 1000000
quick,66,0.0414410,19, 1000000
radix,66,0.0414410,38, 1000000
quick,67,0.0513630,26, 1000000
radix,67,0.0513630,61, 1000000
quick,68,0.0522330,14, 1000000
radix,68,0.0522330,71, 1000000
quick,69,0.0419050,16, 1000000
radix,69,0.0419050,76, 1000000
quick,70,0.0449760,64, 1000000
radix,70,0.0449760,170, 1000000
quick,71,0.0424240,19, 1000000
radix,71,0.0424240,63, 1000000
quick,72,0.0401440,11, 1000000
radix,72,0.0401440,32, 1000000
quick,73,0.0350440,23, 1000000
radix,73,0.0350440,58, 1000000
quick,74,0.0410910,10, 1000000
radix,74,0.0410910,43, 1000000
quick,75,0.0427090,24, 1000000
radix,75,0.0427090,58, 1000000
quick,76,0.0409760,10, 1000000
radix,76,0.0409760,31, 1000000
quick,77,0.0410570,11, 1000000
radix,77,0.0410570,71, 1000000
quick,78,0.0446510,20, 1000000
radix,78,0.0446510,96, 1000000
quick,79,0.0531080,11, 1000000
radix,79,0.0531080,40, 1000000
quick,80,0.0440560,18, 1000000
radix,80,0.0440560,49, 1000000
quick,81,0.0437250,21, 1000000
radix,81,0.0437250,47, 1000000
quick,82,0.0421760,19, 1000000
radix,82,0.0421760,102, 1000000
quick,83,0.0350820,19, 1000000
radix,83,0.0350820,43, 1000000
quick,84,0.0403790,13, 1000000
radix,84,0.0403790,82, 1000000
quick,85,0.0394210,12, 1000000
radix,85,0.0394210,46, 1000000
quick,86,0.0409580,23, 1000000
radix,86,0.0409580,60, 1000000
quick,87,0.0414180,20, 1000000
radix,87,0.0414180,52, 1000000
quick,88,0.0475650,14, 1000000
radix,88,0.0475650,71, 1000000
quick,89,0.0561990,24, 1000000
radix,89,0.0561990,67, 1000000
quick,90,0.0533300,18, 1000000
radix,90,0.0533300,48, 1000000
quick,91,0.0416120,20, 1000000
radix,91,0.0416120,54, 1000000
quick,92,0.0424930,22, 1000000
radix,92,0.0424930,53, 1000000
quick,93,0.0431110,17, 1000000
radix,93,0.0431110,46, 1000000
quick,94,0.0388200,21, 1000000
radix,94,0.0388200,78, 1000000
quick,95,0.0426540,20, 1000000
radix,95,0.0426540,50, 1000000
quick,96,0.0402780,14, 1000000
radix,96,0.0402780,61, 1000000
quick,97,0.0399500,20, 1000000
radix,97,0.0399500,57, 1000000
quick,98,0.0413990,20, 1000000
radix,98,0.0413990,62, 1000000
quick,99,0.0371920,30, 1000000
radix,99,0.0371920,51, 1000000
quick,100,0.0395930,20, 1000000
radix,100,0.0395930,51, 1000000
