n_universo, k, tiempo (micro segundos), iteracion, cantidad_valores_en_arreglo
30,1,75,1, 1000000
30,2,22,1, 1000000
30,3,15,1, 1000000
30,4,11,1, 1000000
30,5,9,1, 1000000
30,6,8,1, 1000000
30,7,7,1, 1000000
30,8,6,1, 1000000
30,9,6,1, 1000000
30,10,5,1, 1000000
30,11,5,1, 1000000
30,12,5,1, 1000000
30,13,4,1, 1000000
30,14,4,1, 1000000
30,15,4,1, 1000000
30,16,3,1, 1000000
30,17,3,1, 1000000
30,18,3,1, 1000000
30,19,3,1, 1000000
30,20,3,1, 1000000
30,21,3,1, 1000000
30,22,2,1, 1000000
30,23,2,1, 1000000
30,24,2,1, 1000000
30,25,2,1, 1000000
30,26,2,1, 1000000
30,27,2,1, 1000000
30,28,2,1, 1000000
30,29,2,1, 1000000
30,30,2,1, 1000000
30,31,2,1, 1000000
30,1,49,2, 1000000
30,2,64,2, 1000000
30,3,11,2, 1000000
30,4,8,2, 1000000
30,5,7,2, 1000000
30,6,6,2, 1000000
30,7,5,2, 1000000
30,8,4,2, 1000000
30,9,4,2, 1000000
30,10,4,2, 1000000
30,11,3,2, 1000000
30,12,3,2, 1000000
30,13,3,2, 1000000
30,14,2,2, 1000000
30,15,2,2, 1000000
30,16,2,2, 1000000
30,17,2,2, 1000000
30,18,2,2, 1000000
30,19,2,2, 1000000
30,20,2,2, 1000000
30,21,2,2, 1000000
30,22,1,2, 1000000
30,23,1,2, 1000000
30,24,1,2, 1000000
30,25,2,2, 1000000
30,26,1,2, 1000000
30,27,1,2, 1000000
30,28,2,2, 1000000
30,29,1,2, 1000000
30,30,1,2, 1000000
30,31,2,2, 1000000
30,1,71,3, 1000000
30,2,32,3, 1000000
30,3,15,3, 1000000
30,4,13,3, 1000000
30,5,10,3, 1000000
30,6,8,3, 1000000
30,7,7,3, 1000000
30,8,6,3, 1000000
30,9,14,3, 1000000
30,10,7,3, 1000000
30,11,5,3, 1000000
30,12,7,3, 1000000
30,13,6,3, 1000000
30,14,6,3, 1000000
30,15,6,3, 1000000
30,16,5,3, 1000000
30,17,5,3, 1000000
30,18,5,3, 1000000
30,19,5,3, 1000000
30,20,5,3, 1000000
30,21,5,3, 1000000
30,22,4,3, 1000000
30,23,4,3, 1000000
30,24,4,3, 1000000
30,25,4,3, 1000000
30,26,4,3, 1000000
30,27,4,3, 1000000
30,28,3,3, 1000000
30,29,4,3, 1000000
30,30,4,3, 1000000
30,31,3,3, 1000000
30,1,43,4, 1000000
30,2,22,4, 1000000
30,3,16,4, 1000000
30,4,13,4, 1000000
30,5,11,4, 1000000
30,6,9,4, 1000000
30,7,8,4, 1000000
30,8,7,4, 1000000
30,9,7,4, 1000000
30,10,7,4, 1000000
30,11,6,4, 1000000
30,12,5,4, 1000000
30,13,5,4, 1000000
30,14,5,4, 1000000
30,15,5,4, 1000000
30,16,4,4, 1000000
30,17,4,4, 1000000
30,18,4,4, 1000000
30,19,4,4, 1000000
30,20,4,4, 1000000
30,21,4,4, 1000000
30,22,3,4, 1000000
30,23,3,4, 1000000
30,24,3,4, 1000000
30,25,3,4, 1000000
30,26,3,4, 1000000
30,27,3,4, 1000000
30,28,3,4, 1000000
30,29,3,4, 1000000
30,30,3,4, 1000000
30,31,3,4, 1000000
30,1,58,5, 1000000
30,2,29,5, 1000000
30,3,16,5, 1000000
30,4,13,5, 1000000
30,5,11,5, 1000000
30,6,10,5, 1000000
30,7,8,5, 1000000
30,8,7,5, 1000000
30,9,7,5, 1000000
30,10,6,5, 1000000
30,11,6,5, 1000000
30,12,6,5, 1000000
30,13,5,5, 1000000
30,14,5,5, 1000000
30,15,5,5, 1000000
30,16,4,5, 1000000
30,17,4,5, 1000000
30,18,4,5, 1000000
30,19,4,5, 1000000
30,20,4,5, 1000000
30,21,4,5, 1000000
30,22,3,5, 1000000
30,23,3,5, 1000000
30,24,3,5, 1000000
30,25,3,5, 1000000
30,26,3,5, 1000000
30,27,3,5, 1000000
30,28,3,5, 1000000
30,29,3,5, 1000000
30,30,3,5, 1000000
30,31,3,5, 1000000
30,1,71,6, 1000000
30,2,25,6, 1000000
30,3,19,6, 1000000
30,4,15,6, 1000000
30,5,13,6, 1000000
30,6,11,6, 1000000
30,7,11,6, 1000000
30,8,9,6, 1000000
30,9,9,6, 1000000
30,10,8,6, 1000000
30,11,7,6, 1000000
30,12,7,6, 1000000
30,13,6,6, 1000000
30,14,5,6, 1000000
30,15,6,6, 1000000
30,16,4,6, 1000000
30,17,4,6, 1000000
30,18,5,6, 1000000
30,19,3,6, 1000000
30,20,3,6, 1000000
30,21,3,6, 1000000
30,22,2,6, 1000000
30,23,2,6, 1000000
30,24,2,6, 1000000
30,25,2,6, 1000000
30,26,2,6, 1000000
30,27,2,6, 1000000
30,28,13,6, 1000000
30,29,3,6, 1000000
30,30,3,6, 1000000
30,31,3,6, 1000000
30,1,48,7, 1000000
30,2,16,7, 1000000
30,3,11,7, 1000000
30,4,8,7, 1000000
30,5,6,7, 1000000
30,6,6,7, 1000000
30,7,5,7, 1000000
30,8,4,7, 1000000
30,9,4,7, 1000000
30,10,4,7, 1000000
30,11,3,7, 1000000
30,12,3,7, 1000000
30,13,3,7, 1000000
30,14,2,7, 1000000
30,15,3,7, 1000000
30,16,2,7, 1000000
30,17,2,7, 1000000
30,18,2,7, 1000000
30,19,2,7, 1000000
30,20,2,7, 1000000
30,21,2,7, 1000000
30,22,1,7, 1000000
30,23,1,7, 1000000
30,24,1,7, 1000000
30,25,1,7, 1000000
30,26,1,7, 1000000
30,27,1,7, 1000000
30,28,1,7, 1000000
30,29,1,7, 1000000
30,30,1,7, 1000000
30,31,1,7, 1000000
30,1,58,8, 1000000
30,2,20,8, 1000000
30,3,14,8, 1000000
30,4,10,8, 1000000
30,5,8,8, 1000000
30,6,7,8, 1000000
30,7,7,8, 1000000
30,8,6,8, 1000000
30,9,5,8, 1000000
30,10,5,8, 1000000
30,11,4,8, 1000000
30,12,4,8, 1000000
30,13,3,8, 1000000
30,14,4,8, 1000000
30,15,3,8, 1000000
30,16,3,8, 1000000
30,17,3,8, 1000000
30,18,3,8, 1000000
30,19,3,8, 1000000
30,20,3,8, 1000000
30,21,3,8, 1000000
30,22,2,8, 1000000
30,23,2,8, 1000000
30,24,2,8, 1000000
30,25,2,8, 1000000
30,26,2,8, 1000000
30,27,2,8, 1000000
30,28,2,8, 1000000
30,29,2,8, 1000000
30,30,2,8, 1000000
30,31,2,8, 1000000
30,1,56,9, 1000000
30,2,16,9, 1000000
30,3,11,9, 1000000
30,4,8,9, 1000000
30,5,6,9, 1000000
30,6,5,9, 1000000
30,7,5,9, 1000000
30,8,4,9, 1000000
30,9,4,9, 1000000
30,10,4,9, 1000000
30,11,3,9, 1000000
30,12,3,9, 1000000
30,13,2,9, 1000000
30,14,2,9, 1000000
30,15,3,9, 1000000
30,16,2,9, 1000000
30,17,2,9, 1000000
30,18,2,9, 1000000
30,19,2,9, 1000000
30,20,2,9, 1000000
30,21,2,9, 1000000
30,22,1,9, 1000000
30,23,1,9, 1000000
30,24,1,9, 1000000
30,25,2,9, 1000000
30,26,1,9, 1000000
30,27,1,9, 1000000
30,28,1,9, 1000000
30,29,2,9, 1000000
30,30,1,9, 1000000
30,31,1,9, 1000000
30,1,48,10, 1000000
30,2,24,10, 1000000
30,3,15,10, 1000000
30,4,11,10, 1000000
30,5,9,10, 1000000
30,6,8,10, 1000000
30,7,7,10, 1000000
30,8,6,10, 1000000
30,9,13,10, 1000000
30,10,9,10, 1000000
30,11,7,10, 1000000
30,12,7,10, 1000000
30,13,5,10, 1000000
30,14,5,10, 1000000
30,15,5,10, 1000000
30,16,5,10, 1000000
30,17,4,10, 1000000
30,18,4,10, 1000000
30,19,4,10, 1000000
30,20,4,10, 1000000
30,21,4,10, 1000000
30,22,3,10, 1000000
30,23,3,10, 1000000
30,24,3,10, 1000000
30,25,3,10, 1000000
30,26,3,10, 1000000
30,27,3,10, 1000000
30,28,3,10, 1000000
30,29,3,10, 1000000
30,30,3,10, 1000000
30,31,3,10, 1000000
