n_universo, k, tiempo (micro segundos), iteracion, cantidad_valores_en_arreglo
62,1,50,1, 1000000
62,2,20,1, 1000000
62,3,28,1, 1000000
62,4,9,1, 1000000
62,5,8,1, 1000000
62,6,7,1, 1000000
62,7,7,1, 1000000
62,8,6,1, 1000000
62,9,6,1, 1000000
62,10,5,1, 1000000
62,11,4,1, 1000000
62,12,4,1, 1000000
62,13,4,1, 1000000
62,14,4,1, 1000000
62,15,4,1, 1000000
62,16,3,1, 1000000
62,17,3,1, 1000000
62,18,3,1, 1000000
62,19,2,1, 1000000
62,20,2,1, 1000000
62,21,3,1, 1000000
62,22,1,1, 1000000
62,23,1,1, 1000000
62,24,1,1, 1000000
62,25,1,1, 1000000
62,26,1,1, 1000000
62,27,1,1, 1000000
62,28,2,1, 1000000
62,29,1,1, 1000000
62,30,1,1, 1000000
62,31,1,1, 1000000
62,32,1,1, 1000000
62,33,1,1, 1000000
62,34,1,1, 1000000
62,35,2,1, 1000000
62,36,1,1, 1000000
62,37,1,1, 1000000
62,38,1,1, 1000000
62,39,1,1, 1000000
62,40,1,1, 1000000
62,41,1,1, 1000000
62,42,1,1, 1000000
62,43,1,1, 1000000
62,44,1,1, 1000000
62,45,1,1, 1000000
62,46,1,1, 1000000
62,47,1,1, 1000000
62,48,1,1, 1000000
62,49,1,1, 1000000
62,50,1,1, 1000000
62,51,1,1, 1000000
62,52,1,1, 1000000
62,53,1,1, 1000000
62,54,1,1, 1000000
62,55,1,1, 1000000
62,56,1,1, 1000000
62,57,1,1, 1000000
62,58,1,1, 1000000
62,59,1,1, 1000000
62,60,1,1, 1000000
62,61,1,1, 1000000
62,62,1,1, 1000000
62,63,1,1, 1000000
62,1,51,2, 1000000
62,2,12,2, 1000000
62,3,9,2, 1000000
62,4,6,2, 1000000
62,5,5,2, 1000000
62,6,5,2, 1000000
62,7,4,2, 1000000
62,8,5,2, 1000000
62,9,4,2, 1000000
62,10,3,2, 1000000
62,11,3,2, 1000000
62,12,2,2, 1000000
62,13,2,2, 1000000
62,14,3,2, 1000000
62,15,2,2, 1000000
62,16,1,2, 1000000
62,17,1,2, 1000000
62,18,1,2, 1000000
62,19,1,2, 1000000
62,20,3,2, 1000000
62,21,2,2, 1000000
62,22,1,2, 1000000
62,23,1,2, 1000000
62,24,2,2, 1000000
62,25,2,2, 1000000
62,26,1,2, 1000000
62,27,1,2, 1000000
62,28,1,2, 1000000
62,29,1,2, 1000000
62,30,2,2, 1000000
62,31,1,2, 1000000
62,32,1,2, 1000000
62,33,1,2, 1000000
62,34,1,2, 1000000
62,35,1,2, 1000000
62,36,1,2, 1000000
62,37,1,2, 1000000
62,38,1,2, 1000000
62,39,1,2, 1000000
62,40,1,2, 1000000
62,41,1,2, 1000000
62,42,1,2, 1000000
62,43,1,2, 1000000
62,44,1,2, 1000000
62,45,1,2, 1000000
62,46,1,2, 1000000
62,47,1,2, 1000000
62,48,1,2, 1000000
62,49,1,2, 1000000
62,50,1,2, 1000000
62,51,1,2, 1000000
62,52,1,2, 1000000
62,53,1,2, 1000000
62,54,1,2, 1000000
62,55,1,2, 1000000
62,56,1,2, 1000000
62,57,1,2, 1000000
62,58,1,2, 1000000
62,59,1,2, 1000000
62,60,1,2, 1000000
62,61,1,2, 1000000
62,62,1,2, 1000000
62,63,1,2, 1000000
62,1,38,3, 1000000
62,2,12,3, 1000000
62,3,10,3, 1000000
62,4,9,3, 1000000
62,5,5,3, 1000000
62,6,4,3, 1000000
62,7,4,3, 1000000
62,8,3,3, 1000000
62,9,3,3, 1000000
62,10,3,3, 1000000
62,11,4,3, 1000000
62,12,2,3, 1000000
62,13,2,3, 1000000
62,14,2,3, 1000000
62,15,2,3, 1000000
62,16,1,3, 1000000
62,17,2,3, 1000000
62,18,2,3, 1000000
62,19,2,3, 1000000
62,20,1,3, 1000000
62,21,1,3, 1000000
62,22,1,3, 1000000
62,23,1,3, 1000000
62,24,2,3, 1000000
62,25,2,3, 1000000
62,26,1,3, 1000000
62,27,1,3, 1000000
62,28,2,3, 1000000
62,29,2,3, 1000000
62,30,1,3, 1000000
62,31,1,3, 1000000
62,32,1,3, 1000000
62,33,1,3, 1000000
62,34,1,3, 1000000
62,35,1,3, 1000000
62,36,1,3, 1000000
62,37,1,3, 1000000
62,38,1,3, 1000000
62,39,1,3, 1000000
62,40,1,3, 1000000
62,41,1,3, 1000000
62,42,1,3, 1000000
62,43,1,3, 1000000
62,44,1,3, 1000000
62,45,1,3, 1000000
62,46,1,3, 1000000
62,47,1,3, 1000000
62,48,1,3, 1000000
62,49,1,3, 1000000
62,50,1,3, 1000000
62,51,1,3, 1000000
62,52,1,3, 1000000
62,53,1,3, 1000000
62,54,1,3, 1000000
62,55,1,3, 1000000
62,56,1,3, 1000000
62,57,1,3, 1000000
62,58,1,3, 1000000
62,59,1,3, 1000000
62,60,1,3, 1000000
62,61,1,3, 1000000
62,62,1,3, 1000000
62,63,1,3, 1000000
62,1,27,4, 1000000
62,2,17,4, 1000000
62,3,8,4, 1000000
62,4,6,4, 1000000
62,5,8,4, 1000000
62,6,4,4, 1000000
62,7,6,4, 1000000
62,8,4,4, 1000000
62,9,3,4, 1000000
