s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,0.0455510,21, 1000000
radix,1,0.0455510,53, 1000000
quick,2,0.0430410,18, 1000000
radix,2,0.0430410,35, 1000000
quick,3,0.0402090,18, 1000000
radix,3,0.0402090,93, 1000000
quick,4,0.0363760,28, 1000000
radix,4,0.0363760,78, 1000000
quick,5,0.0443420,25, 1000000
radix,5,0.0443420,56, 1000000
quick,6,0.0422770,14, 1000000
radix,6,0.0422770,38, 1000000
quick,7,0.0409680,18, 1000000
radix,7,0.0409680,49, 1000000
quick,8,0.0355000,19, 1000000
radix,8,0.0355000,51, 1000000
quick,9,0.0420960,18, 1000000
radix,9,0.0420960,46, 1000000
quick,10,0.0405280,10, 1000000
radix,10,0.0405280,72, 1000000
quick,11,0.0410220,20, 1000000
radix,11,0.0410220,38, 1000000
quick,12,0.0402820,10, 1000000
radix,12,0.0402820,29, 1000000
quick,13,0.0356260,23, 1000000
radix,13,0.0356260,42, 1000000
quick,14,0.0423740,9, 1000000
radix,14,0.0423740,57, 1000000
quick,15,0.0398150,18, 1000000
radix,15,0.0398150,49, 1000000
quick,16,0.0407920,17, 1000000
radix,16,0.0407920,53, 1000000
quick,17,0.0394130,18, 1000000
radix,17,0.0394130,48, 1000000
quick,18,0.0394520,22, 1000000
radix,18,0.0394520,65, 1000000
quick,19,0.0417770,19, 1000000
radix,19,0.0417770,52, 1000000
quick,20,0.0405980,17, 1000000
radix,20,0.0405980,61, 1000000
quick,21,0.0447770,13, 1000000
radix,21,0.0447770,56, 1000000
quick,22,0.0464170,10, 1000000
radix,22,0.0464170,48, 1000000
quick,23,0.0391490,19, 1000000
radix,23,0.0391490,99, 1000000
quick,24,0.0396660,27, 1000000
radix,24,0.0396660,59, 1000000
quick,25,0.0424440,20, 1000000
radix,25,0.0424440,46, 1000000
quick,26,0.0431060,20, 1000000
radix,26,0.0431060,50, 1000000
quick,27,0.0459840,72, 1000000
radix,27,0.0459840,36, 1000000
quick,28,0.0429150,11, 1000000
radix,28,0.0429150,77, 1000000
quick,29,0.0442200,20, 1000000
radix,29,0.0442200,46, 1000000
quick,30,0.0408350,19, 1000000
radix,30,0.0408350,43, 1000000
quick,31,0.0366260,23, 1000000
radix,31,0.0366260,67, 1000000
quick,32,0.0437640,22, 1000000
radix,32,0.0437640,64, 1000000
quick,33,0.0462050,22, 1000000
radix,33,0.0462050,58, 1000000
quick,34,0.0389950,20, 1000000
radix,34,0.0389950,50, 1000000
quick,35,0.0442750,22, 1000000
radix,35,0.0442750,52, 1000000
quick,36,0.0418030,24, 1000000
radix,36,0.0418030,62, 1000000
quick,37,0.0416750,19, 1000000
radix,37,0.0416750,41, 1000000
quick,38,0.0406640,46, 1000000
radix,38,0.0406640,187, 1000000
