s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,0.0486170,13, 1000000
radix,1,0.0486170,40, 1000000
quick,2,0.0530980,23, 1000000
radix,2,0.0530980,57, 1000000
quick,3,0.0476730,18, 1000000
radix,3,0.0476730,47, 1000000
quick,4,0.0453030,19, 1000000
radix,4,0.0453030,52, 1000000
quick,5,0.0488760,20, 1000000
radix,5,0.0488760,50, 1000000
quick,6,0.0488210,19, 1000000
radix,6,0.0488210,52, 1000000
quick,7,0.0501460,18, 1000000
radix,7,0.0501460,44, 1000000
quick,8,0.0542470,21, 1000000
radix,8,0.0542470,50, 1000000
quick,9,0.0561590,20, 1000000
radix,9,0.0561590,83, 1000000
quick,10,0.0503040,18, 1000000
radix,10,0.0503040,92, 1000000
quick,11,0.0504490,11, 1000000
radix,11,0.0504490,39, 1000000
quick,12,0.0444760,21, 1000000
radix,12,0.0444760,51, 1000000
quick,13,0.0483370,21, 1000000
radix,13,0.0483370,51, 1000000
quick,14,0.0430860,21, 1000000
radix,14,0.0430860,68, 1000000
quick,15,0.0498500,19, 1000000
radix,15,0.0498500,47, 1000000
quick,16,0.0487530,24, 1000000
radix,16,0.0487530,64, 1000000
quick,17,0.0434870,11, 1000000
radix,17,0.0434870,66, 1000000
quick,18,0.0493610,27, 1000000
radix,18,0.0493610,60, 1000000
quick,19,0.0467030,13, 1000000
radix,19,0.0467030,59, 1000000
quick,20,0.0592450,32, 1000000
radix,20,0.0592450,84, 1000000
quick,21,0.0495090,21, 1000000
radix,21,0.0495090,62, 1000000
quick,22,0.0508960,22, 1000000
radix,22,0.0508960,55, 1000000
quick,23,0.0450850,14, 1000000
radix,23,0.0450850,89, 1000000
quick,24,0.0501100,72, 1000000
radix,24,0.0501100,117, 1000000
quick,25,0.0458130,22, 1000000
radix,25,0.0458130,49, 1000000
quick,26,0.0418430,11, 1000000
radix,26,0.0418430,36, 1000000
quick,27,0.0561980,16, 1000000
radix,27,0.0561980,74, 1000000
quick,28,0.0521270,21, 1000000
radix,28,0.0521270,55, 1000000
quick,29,0.0436790,13, 1000000
radix,29,0.0436790,41, 1000000
quick,30,0.0519610,12, 1000000
radix,30,0.0519610,90, 1000000
quick,31,0.0475790,17, 1000000
radix,31,0.0475790,85, 1000000
quick,32,0.0420810,14, 1000000
radix,32,0.0420810,81, 1000000
quick,33,0.0467130,12, 1000000
radix,33,0.0467130,35, 1000000
quick,34,0.0565900,56, 1000000
radix,34,0.0565900,42, 1000000
