n_universo, k, tiempo (micro segundos), iteracion, cantidad_valores_en_arreglo
50,1,42,1, 1000000
50,2,14,1, 1000000
50,3,10,1, 1000000
50,4,8,1, 1000000
50,5,6,1, 1000000
50,6,5,1, 1000000
50,7,5,1, 1000000
50,8,4,1, 1000000
50,9,4,1, 1000000
50,10,3,1, 1000000
50,11,3,1, 1000000
50,12,3,1, 1000000
50,13,2,1, 1000000
50,14,2,1, 1000000
50,15,2,1, 1000000
50,16,2,1, 1000000
50,17,2,1, 1000000
50,18,2,1, 1000000
50,19,2,1, 1000000
50,20,3,1, 1000000
50,21,2,1, 1000000
50,22,2,1, 1000000
50,23,2,1, 1000000
50,24,1,1, 1000000
50,25,1,1, 1000000
50,26,2,1, 1000000
50,27,2,1, 1000000
50,28,2,1, 1000000
50,29,1,1, 1000000
50,30,1,1, 1000000
50,31,2,1, 1000000
50,32,1,1, 1000000
50,33,2,1, 1000000
50,34,1,1, 1000000
50,35,1,1, 1000000
50,36,1,1, 1000000
50,37,1,1, 1000000
50,38,1,1, 1000000
50,39,1,1, 1000000
50,40,1,1, 1000000
50,41,2,1, 1000000
50,42,1,1, 1000000
50,43,1,1, 1000000
50,44,26,1, 1000000
50,45,1,1, 1000000
50,46,1,1, 1000000
50,47,2,1, 1000000
50,48,1,1, 1000000
50,49,2,1, 1000000
50,50,1,1, 1000000
50,51,1,1, 1000000
50,1,33,2, 1000000
50,2,11,2, 1000000
50,3,9,2, 1000000
50,4,7,2, 1000000
50,5,5,2, 1000000
50,6,4,2, 1000000
50,7,4,2, 1000000
50,8,3,2, 1000000
50,9,3,2, 1000000
50,10,3,2, 1000000
50,11,2,2, 1000000
50,12,2,2, 1000000
50,13,2,2, 1000000
50,14,2,2, 1000000
50,15,2,2, 1000000
50,16,1,2, 1000000
50,17,1,2, 1000000
50,18,2,2, 1000000
50,19,2,2, 1000000
50,20,2,2, 1000000
50,21,1,2, 1000000
50,22,1,2, 1000000
50,23,1,2, 1000000
50,24,1,2, 1000000
50,25,2,2, 1000000
50,26,1,2, 1000000
50,27,1,2, 1000000
50,28,1,2, 1000000
50,29,2,2, 1000000
50,30,1,2, 1000000
50,31,1,2, 1000000
50,32,1,2, 1000000
50,33,1,2, 1000000
50,34,1,2, 1000000
50,35,1,2, 1000000
50,36,1,2, 1000000
50,37,1,2, 1000000
50,38,1,2, 1000000
50,39,1,2, 1000000
50,40,1,2, 1000000
50,41,1,2, 1000000
50,42,1,2, 1000000
50,43,1,2, 1000000
50,44,1,2, 1000000
50,45,1,2, 1000000
50,46,1,2, 1000000
50,47,0,2, 1000000
50,48,1,2, 1000000
50,49,1,2, 1000000
