s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,2.8656280,9, 100000000
radix,1,2.8656280,7, 100000000
quick,2,2.8522880,9, 100000000
radix,2,2.8522880,7, 100000000
quick,3,2.8519620,9, 100000000
radix,3,2.8519620,6, 100000000
quick,4,2.8488990,17, 100000000
radix,4,2.8488990,7, 100000000
quick,5,2.8478800,17, 100000000
radix,5,2.8478800,7, 100000000
quick,6,2.8430580,10, 100000000
radix,6,2.8430580,7, 100000000
quick,7,2.8542590,8, 100000000
radix,7,2.8542590,6, 100000000
quick,8,2.8616460,9, 100000000
radix,8,2.8616460,7, 100000000
quick,9,2.8618190,19, 100000000
radix,9,2.8618190,9, 100000000
quick,10,2.8476250,10, 100000000
radix,10,2.8476250,7, 100000000
quick,11,2.8467540,8, 100000000
radix,11,2.8467540,6, 100000000
quick,12,2.8408170,9, 100000000
radix,12,2.8408170,6, 100000000
quick,13,2.8390340,8, 100000000
radix,13,2.8390340,6, 100000000
quick,14,2.8437650,9, 100000000
radix,14,2.8437650,6, 100000000
quick,15,2.8452890,16, 100000000
radix,15,2.8452890,8, 100000000
quick,16,2.8518500,9, 100000000
radix,16,2.8518500,7, 100000000
quick,17,2.8299180,10, 100000000
radix,17,2.8299180,22, 100000000
quick,18,2.8764630,8, 100000000
radix,18,2.8764630,6, 100000000
quick,19,2.8418670,9, 100000000
radix,19,2.8418670,6, 100000000
quick,20,2.8442080,9, 100000000
radix,20,2.8442080,7, 100000000
quick,21,2.8477880,8, 100000000
radix,21,2.8477880,6, 100000000
quick,22,2.8486080,8, 100000000
radix,22,2.8486080,6, 100000000
quick,23,2.8505590,9, 100000000
radix,23,2.8505590,9, 100000000
quick,24,2.8468370,8, 100000000
radix,24,2.8468370,6, 100000000
quick,25,2.8419830,8, 100000000
radix,25,2.8419830,6, 100000000
quick,26,2.8462240,19, 100000000
radix,26,2.8462240,11, 100000000
quick,27,2.8521450,10, 100000000
radix,27,2.8521450,14, 100000000
quick,28,2.8422770,8, 100000000
radix,28,2.8422770,6, 100000000
quick,29,2.8459380,16, 100000000
radix,29,2.8459380,8, 100000000
quick,30,2.8334550,8, 100000000
radix,30,2.8334550,7, 100000000
quick,31,2.8364260,9, 100000000
radix,31,2.8364260,41, 100000000
quick,32,2.8480630,8, 100000000
radix,32,2.8480630,6, 100000000
quick,33,2.8412260,16, 100000000
radix,33,2.8412260,7, 100000000
quick,34,2.8351410,9, 100000000
radix,34,2.8351410,7, 100000000
quick,35,2.8550700,8, 100000000
radix,35,2.8550700,6, 100000000
quick,36,2.8325570,8, 100000000
radix,36,2.8325570,7, 100000000
quick,37,2.8425020,28, 100000000
radix,37,2.8425020,7, 100000000
quick,38,2.8304520,18, 100000000
radix,38,2.8304520,12, 100000000
quick,39,2.8761630,16, 100000000
radix,39,2.8761630,9, 100000000
quick,40,2.8430640,9, 100000000
radix,40,2.8430640,7, 100000000
quick,41,2.8380860,9, 100000000
radix,41,2.8380860,6, 100000000
quick,42,2.8282130,8, 100000000
radix,42,2.8282130,7, 100000000
quick,43,2.8357470,8, 100000000
radix,43,2.8357470,6, 100000000
quick,44,2.8143620,9, 100000000
radix,44,2.8143620,7, 100000000
quick,45,2.8296800,9, 100000000
radix,45,2.8296800,7, 100000000
quick,46,2.8448750,18, 100000000
radix,46,2.8448750,9, 100000000
quick,47,2.8084280,9, 100000000
radix,47,2.8084280,7, 100000000
quick,48,2.8375180,11, 100000000
radix,48,2.8375180,11, 100000000
quick,49,2.8426880,9, 100000000
radix,49,2.8426880,7, 100000000
quick,50,2.8157690,9, 100000000
radix,50,2.8157690,7, 100000000
quick,51,2.8156400,9, 100000000
radix,51,2.8156400,8, 100000000
quick,52,2.8513150,8, 100000000
radix,52,2.8513150,7, 100000000
quick,53,2.8515750,8, 100000000
radix,53,2.8515750,7, 100000000
quick,54,2.8393790,18, 100000000
radix,54,2.8393790,8, 100000000
quick,55,2.8378810,10, 100000000
radix,55,2.8378810,7, 100000000
quick,56,2.8273520,9, 100000000
radix,56,2.8273520,25, 100000000
quick,57,2.8433700,16, 100000000
radix,57,2.8433700,48, 100000000
quick,58,2.8481730,9, 100000000
radix,58,2.8481730,6, 100000000
quick,59,2.8649950,8, 100000000
radix,59,2.8649950,6, 100000000
quick,60,2.8808660,9, 100000000
radix,60,2.8808660,13, 100000000
quick,61,2.8523660,9, 100000000
radix,61,2.8523660,6, 100000000
quick,62,2.8419560,9, 100000000
radix,62,2.8419560,7, 100000000
quick,63,2.8207680,9, 100000000
radix,63,2.8207680,7, 100000000
quick,64,2.8312260,11, 100000000
radix,64,2.8312260,10, 100000000
quick,65,2.8074670,30, 100000000
radix,65,2.8074670,20, 100000000
quick,66,2.8003580,20, 100000000
radix,66,2.8003580,12, 100000000
quick,67,2.8106010,11, 100000000
radix,67,2.8106010,10, 100000000
quick,68,2.7986690,8, 100000000
radix,68,2.7986690,43, 100000000
quick,69,2.8076890,13, 100000000
radix,69,2.8076890,19, 100000000
quick,70,2.7981690,14, 100000000
radix,70,2.7981690,12, 100000000
quick,71,2.8181620,10, 100000000
radix,71,2.8181620,10, 100000000
quick,72,2.8100690,10, 100000000
radix,72,2.8100690,47, 100000000
quick,73,2.8139820,8, 100000000
radix,73,2.8139820,5, 100000000
quick,74,2.8130230,10, 100000000
radix,74,2.8130230,6, 100000000
quick,75,2.8011690,8, 100000000
radix,75,2.8011690,6, 100000000
quick,76,2.8186600,18, 100000000
radix,76,2.8186600,17, 100000000
quick,77,2.8159950,8, 100000000
radix,77,2.8159950,7, 100000000
quick,78,2.8148650,10, 100000000
radix,78,2.8148650,8, 100000000
quick,79,2.8118200,18, 100000000
radix,79,2.8118200,8, 100000000
quick,80,2.8144330,9, 100000000
radix,80,2.8144330,7, 100000000
quick,81,2.8164470,9, 100000000
radix,81,2.8164470,7, 100000000
quick,82,2.8156540,9, 100000000
radix,82,2.8156540,8, 100000000
quick,83,2.8054750,20, 100000000
radix,83,2.8054750,10, 100000000
quick,84,2.8031410,14, 100000000
radix,84,2.8031410,12, 100000000
quick,85,2.8078710,9, 100000000
radix,85,2.8078710,6, 100000000
