s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,3.1969420,21, 100000000
radix,1,3.1969420,18, 100000000
quick,2,3.1925100,13, 100000000
radix,2,3.1925100,10, 100000000
quick,3,3.0697280,10, 100000000
radix,3,3.0697280,9, 100000000
quick,4,3.1427030,9, 100000000
radix,4,3.1427030,8, 100000000
quick,5,3.1716250,24, 100000000
radix,5,3.1716250,13, 100000000
quick,6,3.0322580,18, 100000000
radix,6,3.0322580,7, 100000000
quick,7,3.1335980,104, 100000000
radix,7,3.1335980,41, 100000000
quick,8,3.1056520,22, 100000000
radix,8,3.1056520,26, 100000000
quick,9,3.0845360,18, 100000000
radix,9,3.0845360,33, 100000000
quick,10,3.0960600,21, 100000000
radix,10,3.0960600,10, 100000000
quick,11,3.1796280,10, 100000000
radix,11,3.1796280,29, 100000000
quick,12,3.1472250,16, 100000000
radix,12,3.1472250,8, 100000000
quick,13,3.1674740,19, 100000000
radix,13,3.1674740,8, 100000000
quick,14,3.1518070,14, 100000000
radix,14,3.1518070,12, 100000000
quick,15,3.1136870,16, 100000000
radix,15,3.1136870,8, 100000000
quick,16,3.1086420,18, 100000000
radix,16,3.1086420,9, 100000000
quick,17,3.1328150,11, 100000000
radix,17,3.1328150,8, 100000000
quick,18,3.1083330,19, 100000000
radix,18,3.1083330,9, 100000000
quick,19,3.0513400,65, 100000000
radix,19,3.0513400,17, 100000000
quick,20,3.1192740,18, 100000000
radix,20,3.1192740,60, 100000000
quick,21,3.1677210,11, 100000000
radix,21,3.1677210,9, 100000000
quick,22,3.0967880,14, 100000000
radix,22,3.0967880,12, 100000000
quick,23,3.1272420,10, 100000000
radix,23,3.1272420,8, 100000000
quick,24,3.1398850,12, 100000000
radix,24,3.1398850,10, 100000000
quick,25,3.1014510,20, 100000000
radix,25,3.1014510,14, 100000000
quick,26,3.1070750,18, 100000000
radix,26,3.1070750,13, 100000000
quick,27,3.0983670,11, 100000000
radix,27,3.0983670,8, 100000000
quick,28,3.1064230,9, 100000000
radix,28,3.1064230,38, 100000000
quick,29,3.1009270,14, 100000000
radix,29,3.1009270,20, 100000000
quick,30,3.1481790,14, 100000000
radix,30,3.1481790,9, 100000000
quick,31,3.1510090,28, 100000000
radix,31,3.1510090,13, 100000000
quick,32,3.0980360,14, 100000000
radix,32,3.0980360,20, 100000000
quick,33,3.1004740,17, 100000000
radix,33,3.1004740,13, 100000000
quick,34,3.1130550,18, 100000000
radix,34,3.1130550,8, 100000000
quick,35,3.1142460,18, 100000000
radix,35,3.1142460,9, 100000000
quick,36,3.1551160,16, 100000000
radix,36,3.1551160,7, 100000000
quick,37,3.1673760,10, 100000000
radix,37,3.1673760,8, 100000000
quick,38,3.1964490,10, 100000000
radix,38,3.1964490,8, 100000000
quick,39,3.1157600,17, 100000000
radix,39,3.1157600,8, 100000000
quick,40,3.1119240,10, 100000000
radix,40,3.1119240,25, 100000000
quick,41,3.0690400,19, 100000000
radix,41,3.0690400,10, 100000000
quick,42,3.1062210,20, 100000000
radix,42,3.1062210,9, 100000000
quick,43,3.1185030,14, 100000000
radix,43,3.1185030,13, 100000000
quick,44,3.0968500,18, 100000000
