s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,0.0661360,14, 1000000
radix,1,0.0661360,49, 1000000
quick,2,0.0559920,12, 1000000
radix,2,0.0559920,45, 1000000
quick,3,0.0384000,21, 1000000
radix,3,0.0384000,45, 1000000
quick,4,0.0400940,19, 1000000
radix,4,0.0400940,47, 1000000
quick,5,0.0420430,11, 1000000
radix,5,0.0420430,49, 1000000
quick,6,0.0412240,14, 1000000
radix,6,0.0412240,57, 1000000
quick,7,0.0495230,20, 1000000
radix,7,0.0495230,46, 1000000
quick,8,0.0458760,16, 1000000
radix,8,0.0458760,50, 1000000
quick,9,0.0461470,32, 1000000
radix,9,0.0461470,38, 1000000
quick,10,0.0446460,11, 1000000
radix,10,0.0446460,51, 1000000
quick,11,0.0415430,13, 1000000
radix,11,0.0415430,59, 1000000
quick,12,0.0520900,14, 1000000
radix,12,0.0520900,117, 1000000
quick,13,0.0563150,20, 1000000
radix,13,0.0563150,47, 1000000
quick,14,0.0505360,22, 1000000
radix,14,0.0505360,58, 1000000
quick,15,0.0447090,18, 1000000
radix,15,0.0447090,70, 1000000
quick,16,0.0436890,19, 1000000
radix,16,0.0436890,48, 1000000
quick,17,0.0426190,19, 1000000
radix,17,0.0426190,42, 1000000
quick,18,0.0429350,19, 1000000
radix,18,0.0429350,41, 1000000
quick,19,0.0403950,10, 1000000
radix,19,0.0403950,57, 1000000
quick,20,0.0409740,22, 1000000
radix,20,0.0409740,48, 1000000
quick,21,0.0471670,24, 1000000
radix,21,0.0471670,62, 1000000
quick,22,0.0449830,13, 1000000
radix,22,0.0449830,41, 1000000
quick,23,0.0438310,12, 1000000
radix,23,0.0438310,72, 1000000
quick,24,0.0478110,12, 1000000
radix,24,0.0478110,107, 1000000
quick,25,0.0413500,19, 1000000
radix,25,0.0413500,51, 1000000
quick,26,0.0372150,18, 1000000
radix,26,0.0372150,66, 1000000
quick,27,0.0533290,15, 1000000
radix,27,0.0533290,67, 1000000
quick,28,0.0533010,17, 1000000
radix,28,0.0533010,64, 1000000
quick,29,0.0476710,20, 1000000
radix,29,0.0476710,46, 1000000
quick,30,0.0499230,21, 1000000
radix,30,0.0499230,64, 1000000
quick,31,0.0458330,22, 1000000
radix,31,0.0458330,50, 1000000
quick,32,0.0426780,9, 1000000
radix,32,0.0426780,40, 1000000
quick,33,0.0447620,19, 1000000
radix,33,0.0447620,49, 1000000
quick,34,0.0417120,20, 1000000
radix,34,0.0417120,54, 1000000
quick,35,0.0465230,22, 1000000
radix,35,0.0465230,59, 1000000
quick,36,0.0695840,11, 1000000
radix,36,0.0695840,39, 1000000
quick,37,0.0620320,25, 1000000
radix,37,0.0620320,55, 1000000
quick,38,0.0524760,22, 1000000
radix,38,0.0524760,92, 1000000
quick,39,0.0470310,24, 1000000
radix,39,0.0470310,59, 1000000
quick,40,0.0426270,23, 1000000
radix,40,0.0426270,52, 1000000
quick,41,0.0432830,23, 1000000
radix,41,0.0432830,53, 1000000
quick,42,0.0382020,20, 1000000
radix,42,0.0382020,121, 1000000
quick,43,0.0439560,20, 1000000
radix,43,0.0439560,44, 1000000
quick,44,0.0500840,19, 1000000
radix,44,0.0500840,71, 1000000
quick,45,0.0520750,23, 1000000
radix,45,0.0520750,41, 1000000
quick,46,0.0466500,10, 1000000
radix,46,0.0466500,62, 1000000
quick,47,0.0402400,22, 1000000
radix,47,0.0402400,47, 1000000
quick,48,0.0433640,11, 1000000
radix,48,0.0433640,55, 1000000
quick,49,0.0371230,10, 1000000
radix,49,0.0371230,33, 1000000
quick,50,0.0483000,21, 1000000
radix,50,0.0483000,75, 1000000
quick,51,0.0596740,29, 1000000
radix,51,0.0596740,100, 1000000
quick,52,0.0646370,21, 1000000
radix,52,0.0646370,88, 1000000
quick,53,0.0556290,22, 1000000
radix,53,0.0556290,54, 1000000
quick,54,0.0413990,73, 1000000
radix,54,0.0413990,36, 1000000
quick,55,0.0406520,10, 1000000
radix,55,0.0406520,60, 1000000
quick,56,0.0402940,14, 1000000
radix,56,0.0402940,45, 1000000
quick,57,0.0427690,11, 1000000
radix,57,0.0427690,70, 1000000
quick,58,0.0456250,11, 1000000
radix,58,0.0456250,67, 1000000
quick,59,0.0459970,21, 1000000
radix,59,0.0459970,61, 1000000
quick,60,0.0448110,11, 1000000
radix,60,0.0448110,64, 1000000
quick,61,0.0463310,19, 1000000
radix,61,0.0463310,49, 1000000
quick,62,0.0444860,10, 1000000
radix,62,0.0444860,40, 1000000
quick,63,0.0430150,10, 1000000
radix,63,0.0430150,45, 1000000
quick,64,0.0449140,10, 1000000
radix,64,0.0449140,89, 1000000
quick,65,0.0428390,12, 1000000
radix,65,0.0428390,63, 1000000
quick,66,0.0402520,19, 1000000
radix,66,0.0402520,42, 1000000
quick,67,0.0439420,24, 1000000
radix,67,0.0439420,45, 1000000
quick,68,0.0406900,18, 1000000
radix,68,0.0406900,40, 1000000
quick,69,0.0393800,13, 1000000
radix,69,0.0393800,39, 1000000
quick,70,0.0400200,10, 1000000
radix,70,0.0400200,63, 1000000
quick,71,0.0412260,20, 1000000
radix,71,0.0412260,54, 1000000
quick,72,0.0404530,22, 1000000
radix,72,0.0404530,54, 1000000
quick,73,0.0402840,10, 1000000
radix,73,0.0402840,67, 1000000
quick,74,0.0395200,20, 1000000
radix,74,0.0395200,52, 1000000
quick,75,0.0418970,19, 1000000
radix,75,0.0418970,48, 1000000
quick,76,0.0356120,11, 1000000
radix,76,0.0356120,36, 1000000
quick,77,0.0517320,22, 1000000
radix,77,0.0517320,54, 1000000
quick,78,0.0562770,24, 1000000
radix,78,0.0562770,84, 1000000
quick,79,0.0553300,22, 1000000
radix,79,0.0553300,58, 1000000
quick,80,0.0541330,20, 1000000
radix,80,0.0541330,51, 1000000
quick,81,0.0543500,17, 1000000
radix,81,0.0543500,88, 1000000
quick,82,0.0540570,23, 1000000
radix,82,0.0540570,59, 1000000
quick,83,0.0541770,21, 1000000
radix,83,0.0541770,111, 1000000
quick,84,0.0540500,11, 1000000
