s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,0.0448380,21, 1000000
radix,1,0.0448380,50, 1000000
quick,2,0.0467910,15, 1000000
radix,2,0.0467910,60, 1000000
quick,3,0.0441370,9, 1000000
radix,3,0.0441370,92, 1000000
quick,4,0.0409630,32, 1000000
radix,4,0.0409630,69, 1000000
quick,5,0.0450550,19, 1000000
radix,5,0.0450550,43, 1000000
quick,6,0.0473040,10, 1000000
radix,6,0.0473040,82, 1000000
quick,7,0.0413560,16, 1000000
radix,7,0.0413560,56, 1000000
quick,8,0.0440500,19, 1000000
radix,8,0.0440500,50, 1000000
quick,9,0.0454960,20, 1000000
radix,9,0.0454960,39, 1000000
quick,10,0.0423990,24, 1000000
radix,10,0.0423990,52, 1000000
quick,11,0.0424760,22, 1000000
radix,11,0.0424760,36, 1000000
quick,12,0.0414080,24, 1000000
radix,12,0.0414080,53, 1000000
quick,13,0.0419460,18, 1000000
radix,13,0.0419460,45, 1000000
quick,14,0.0363950,47, 1000000
radix,14,0.0363950,47, 1000000
quick,15,0.0411200,92, 1000000
radix,15,0.0411200,52, 1000000
quick,16,0.0404660,10, 1000000
radix,16,0.0404660,37, 1000000
quick,17,0.0414780,48, 1000000
radix,17,0.0414780,42, 1000000
quick,18,0.0422140,18, 1000000
radix,18,0.0422140,43, 1000000
quick,19,0.0372560,14, 1000000
radix,19,0.0372560,61, 1000000
quick,20,0.0399300,21, 1000000
radix,20,0.0399300,50, 1000000
quick,21,0.0396760,19, 1000000
radix,21,0.0396760,48, 1000000
quick,22,0.0402320,20, 1000000
radix,22,0.0402320,90, 1000000
quick,23,0.0420270,19, 1000000
radix,23,0.0420270,49, 1000000
quick,24,0.0356990,17, 1000000
radix,24,0.0356990,54, 1000000
quick,25,0.0402970,18, 1000000
radix,25,0.0402970,42, 1000000
quick,26,0.0455300,21, 1000000
radix,26,0.0455300,41, 1000000
quick,27,0.0410000,17, 1000000
radix,27,0.0410000,31, 1000000
quick,28,0.0455360,18, 1000000
radix,28,0.0455360,42, 1000000
quick,29,0.0436650,28, 1000000
radix,29,0.0436650,52, 1000000
quick,30,0.0475110,14, 1000000
radix,30,0.0475110,64, 1000000
quick,31,0.0416820,21, 1000000
radix,31,0.0416820,43, 1000000
quick,32,0.0426440,19, 1000000
radix,32,0.0426440,47, 1000000
quick,33,0.0439340,20, 1000000
radix,33,0.0439340,47, 1000000
quick,34,0.0429890,10, 1000000
radix,34,0.0429890,120, 1000000
quick,35,0.0406720,19, 1000000
radix,35,0.0406720,46, 1000000
quick,36,0.0420240,21, 1000000
radix,36,0.0420240,51, 1000000
quick,37,0.0434200,18, 1000000
radix,37,0.0434200,102, 1000000
quick,38,0.0421030,18, 1000000
radix,38,0.0421030,51, 1000000
quick,39,0.0400970,11, 1000000
radix,39,0.0400970,35, 1000000
quick,40,0.0392450,13, 1000000
radix,40,0.0392450,40, 1000000
quick,41,0.0404620,18, 1000000
radix,41,0.0404620,47, 1000000
quick,42,0.0412860,13, 1000000
radix,42,0.0412860,33, 1000000
quick,43,0.0382620,106, 1000000
radix,43,0.0382620,45, 1000000
quick,44,0.0398830,19, 1000000
radix,44,0.0398830,40, 1000000
quick,45,0.0401900,22, 1000000
radix,45,0.0401900,58, 1000000
quick,46,0.0407650,18, 1000000
radix,46,0.0407650,46, 1000000
quick,47,0.0392790,18, 1000000
radix,47,0.0392790,48, 1000000
quick,48,0.0370440,103, 1000000
radix,48,0.0370440,53, 1000000
quick,49,0.0403270,18, 1000000
radix,49,0.0403270,44, 1000000
quick,50,0.0419010,22, 1000000
radix,50,0.0419010,67, 1000000
quick,51,0.0386960,10, 1000000
radix,51,0.0386960,69, 1000000
quick,52,0.0407000,18, 1000000
radix,52,0.0407000,47, 1000000
quick,53,0.0391430,22, 1000000
radix,53,0.0391430,49, 1000000
quick,54,0.0407570,21, 1000000
radix,54,0.0407570,46, 1000000
quick,55,0.0401790,29, 1000000
radix,55,0.0401790,47, 1000000
quick,56,0.0416700,20, 1000000
radix,56,0.0416700,54, 1000000
quick,57,0.0405290,13, 1000000
radix,57,0.0405290,41, 1000000
quick,58,0.0391390,20, 1000000
radix,58,0.0391390,45, 1000000
quick,59,0.0470570,23, 1000000
radix,59,0.0470570,96, 1000000
quick,60,0.0437090,20, 1000000
radix,60,0.0437090,48, 1000000
quick,61,0.0390610,13, 1000000
radix,61,0.0390610,73, 1000000
quick,62,0.0415630,18, 1000000
radix,62,0.0415630,89, 1000000
quick,63,0.0443980,27, 1000000
radix,63,0.0443980,57, 1000000
quick,64,0.0562030,23, 1000000
radix,64,0.0562030,55, 1000000
quick,65,0.0518020,11, 1000000
radix,65,0.0518020,45, 1000000
quick,66,0.0526970,22, 1000000
radix,66,0.0526970,85, 1000000
quick,67,0.0536680,20, 1000000
radix,67,0.0536680,78, 1000000
quick,68,0.0508010,24, 1000000
radix,68,0.0508010,57, 1000000
quick,69,0.0509190,60, 1000000
radix,69,0.0509190,60, 1000000
quick,70,0.0483300,22, 1000000
radix,70,0.0483300,56, 1000000
quick,71,0.0500530,23, 1000000
radix,71,0.0500530,62, 1000000
quick,72,0.0512580,14, 1000000
radix,72,0.0512580,47, 1000000
quick,73,0.0490550,22, 1000000
radix,73,0.0490550,58, 1000000
quick,74,0.0477440,19, 1000000
radix,74,0.0477440,85, 1000000
quick,75,0.0515010,14, 1000000
radix,75,0.0515010,46, 1000000
quick,76,0.0510730,23, 1000000
radix,76,0.0510730,58, 1000000
quick,77,0.0506470,13, 1000000
radix,77,0.0506470,119, 1000000
quick,78,0.0501170,21, 1000000
radix,78,0.0501170,51, 1000000
quick,79,0.0492050,23, 1000000
radix,79,0.0492050,69, 1000000
quick,80,0.0484020,13, 1000000
radix,80,0.0484020,81, 1000000
quick,81,0.0526680,11, 1000000
radix,81,0.0526680,40, 1000000
quick,82,0.0674840,20, 1000000
radix,82,0.0674840,57, 1000000
quick,83,0.0419740,47, 1000000
radix,83,0.0419740,54, 1000000
quick,84,0.0421300,11, 1000000
radix,84,0.0421300,37, 1000000
quick,85,0.0383730,11, 1000000
radix,85,0.0383730,36, 1000000
quick,86,0.0426340,10, 1000000
radix,86,0.0426340,34, 1000000
quick,87,0.0391270,11, 1000000
radix,87,0.0391270,35, 1000000
quick,88,0.0344230,10, 1000000
radix,88,0.0344230,62, 1000000
quick,89,0.0426090,20, 1000000
radix,89,0.0426090,61, 1000000
quick,90,0.0407790,10, 1000000
radix,90,0.0407790,63, 1000000
quick,91,0.0437810,20, 1000000
radix,91,0.0437810,48, 1000000
quick,92,0.0390980,19, 1000000
radix,92,0.0390980,45, 1000000
quick,93,0.0374750,13, 1000000
radix,93,0.0374750,42, 1000000
quick,94,0.0417020,10, 1000000
radix,94,0.0417020,33, 1000000
quick,95,0.0404450,22, 1000000
radix,95,0.0404450,54, 1000000
quick,96,0.0429850,11, 1000000
radix,96,0.0429850,60, 1000000
quick,97,0.0476530,20, 1000000
radix,97,0.0476530,47, 1000000
quick,98,0.0440620,9, 1000000
radix,98,0.0440620,47, 1000000
quick,99,0.0416940,11, 1000000
radix,99,0.0416940,190, 1000000
quick,100,0.0463690,19, 1000000
radix,100,0.0463690,38, 1000000
