n_universo, k, tiempo (micro segundos), iteracion, cantidad_valores_en_arreglo
27,1,27,1, 1000000
27,2,12,1, 1000000
27,3,8,1, 1000000
27,4,6,1, 1000000
27,5,5,1, 1000000
27,6,41,1, 1000000
27,7,4,1, 1000000
27,8,3,1, 1000000
27,9,5,1, 1000000
27,10,4,1, 1000000
27,11,4,1, 1000000
27,12,3,1, 1000000
27,13,3,1, 1000000
27,14,17,1, 1000000
27,15,3,1, 1000000
27,16,2,1, 1000000
27,17,2,1, 1000000
27,18,1,1, 1000000
27,19,1,1, 1000000
27,20,1,1, 1000000
27,21,2,1, 1000000
27,22,20,1, 1000000
27,23,1,1, 1000000
27,24,1,1, 1000000
27,25,1,1, 1000000
27,26,1,1, 1000000
27,27,1,1, 1000000
27,28,2,1, 1000000
27,1,31,2, 1000000
27,2,16,2, 1000000
27,3,15,2, 1000000
27,4,11,2, 1000000
27,5,7,2, 1000000
27,6,7,2, 1000000
27,7,6,2, 1000000
27,8,5,2, 1000000
27,9,4,2, 1000000
27,10,3,2, 1000000
27,11,2,2, 1000000
27,12,3,2, 1000000
27,13,2,2, 1000000
27,14,2,2, 1000000
27,15,2,2, 1000000
27,16,2,2, 1000000
27,17,2,2, 1000000
27,18,2,2, 1000000
27,19,2,2, 1000000
27,20,2,2, 1000000
27,21,2,2, 1000000
27,22,1,2, 1000000
27,23,1,2, 1000000
27,24,1,2, 1000000
27,25,1,2, 1000000
27,26,1,2, 1000000
27,27,2,2, 1000000
27,28,2,2, 1000000
27,1,39,3, 1000000
27,2,25,3, 1000000
27,3,17,3, 1000000
27,4,11,3, 1000000
27,5,8,3, 1000000
27,6,7,3, 1000000
27,7,6,3, 1000000
27,8,5,3, 1000000
27,9,6,3, 1000000
27,10,4,3, 1000000
27,11,3,3, 1000000
27,12,3,3, 1000000
27,13,2,3, 1000000
27,14,2,3, 1000000
27,15,2,3, 1000000
27,16,2,3, 1000000
27,17,2,3, 1000000
27,18,2,3, 1000000
27,19,2,3, 1000000
27,20,3,3, 1000000
27,21,3,3, 1000000
27,22,2,3, 1000000
27,23,2,3, 1000000
27,24,2,3, 1000000
27,25,2,3, 1000000
27,26,2,3, 1000000
27,27,1,3, 1000000
27,28,1,3, 1000000
27,1,33,4, 1000000
27,2,15,4, 1000000
27,3,11,4, 1000000
27,4,7,4, 1000000
27,5,6,4, 1000000
27,6,5,4, 1000000
27,7,5,4, 1000000
27,8,4,4, 1000000
27,9,4,4, 1000000
27,10,3,4, 1000000
27,11,3,4, 1000000
27,12,3,4, 1000000
27,13,2,4, 1000000
27,14,2,4, 1000000
27,15,2,4, 1000000
27,16,2,4, 1000000
27,17,2,4, 1000000
27,18,2,4, 1000000
27,19,2,4, 1000000
27,20,2,4, 1000000
27,21,2,4, 1000000
27,22,1,4, 1000000
27,23,1,4, 1000000
27,24,1,4, 1000000
27,25,1,4, 1000000
27,26,1,4, 1000000
27,27,1,4, 1000000
27,28,1,4, 1000000
27,1,45,5, 1000000
27,2,15,5, 1000000
27,3,11,5, 1000000
27,4,8,5, 1000000
27,5,6,5, 1000000
27,6,5,5, 1000000
27,7,5,5, 1000000
27,8,4,5, 1000000
27,9,4,5, 1000000
27,10,4,5, 1000000
27,11,5,5, 1000000
27,12,4,5, 1000000
27,13,3,5, 1000000
27,14,3,5, 1000000
27,15,4,5, 1000000
27,16,3,5, 1000000
27,17,2,5, 1000000
27,18,2,5, 1000000
27,19,2,5, 1000000
27,20,3,5, 1000000
27,21,3,5, 1000000
27,22,2,5, 1000000
27,23,2,5, 1000000
27,24,2,5, 1000000
27,25,2,5, 1000000
27,26,2,5, 1000000
27,27,2,5, 1000000
27,28,2,5, 1000000
27,1,31,6, 1000000
27,2,13,6, 1000000
27,3,9,6, 1000000
27,4,9,6, 1000000
27,5,8,6, 1000000
27,6,6,6, 1000000
27,7,6,6, 1000000
27,8,5,6, 1000000
27,9,5,6, 1000000
27,10,4,6, 1000000
27,11,3,6, 1000000
27,12,3,6, 1000000
27,13,3,6, 1000000
27,14,3,6, 1000000
27,15,3,6, 1000000
27,16,2,6, 1000000
27,17,3,6, 1000000
27,18,3,6, 1000000
27,19,3,6, 1000000
27,20,2,6, 1000000
27,21,3,6, 1000000
27,22,2,6, 1000000
27,23,2,6, 1000000
27,24,2,6, 1000000
27,25,2,6, 1000000
27,26,2,6, 1000000
27,27,2,6, 1000000
27,28,2,6, 1000000
27,1,39,7, 1000000
27,2,18,7, 1000000
27,3,13,7, 1000000
27,4,6,7, 1000000
27,5,5,7, 1000000
27,6,7,7, 1000000
27,7,6,7, 1000000
27,8,5,7, 1000000
27,9,7,7, 1000000
27,10,6,7, 1000000
