n_universo, k, tiempo (micro segundos), iteracion, cantidad_valores_en_arreglo
28,1,73,1, 1000000
28,2,32,1, 1000000
28,3,20,1, 1000000
28,4,15,1, 1000000
28,5,14,1, 1000000
28,6,11,1, 1000000
28,7,10,1, 1000000
28,8,9,1, 1000000
28,9,9,1, 1000000
28,10,9,1, 1000000
28,11,7,1, 1000000
28,12,6,1, 1000000
28,13,5,1, 1000000
28,14,5,1, 1000000
28,15,5,1, 1000000
28,16,4,1, 1000000
28,17,5,1, 1000000
28,18,3,1, 1000000
28,19,5,1, 1000000
28,20,5,1, 1000000
28,21,5,1, 1000000
28,22,4,1, 1000000
28,23,4,1, 1000000
28,24,4,1, 1000000
28,25,4,1, 1000000
28,26,4,1, 1000000
28,27,4,1, 1000000
28,28,4,1, 1000000
28,29,4,1, 1000000
28,1,52,2, 1000000
28,2,29,2, 1000000
28,3,16,2, 1000000
28,4,12,2, 1000000
28,5,10,2, 1000000
28,6,9,2, 1000000
28,7,8,2, 1000000
28,8,7,2, 1000000
28,9,7,2, 1000000
28,10,6,2, 1000000
28,11,6,2, 1000000
28,12,6,2, 1000000
28,13,5,2, 1000000
28,14,5,2, 1000000
28,15,5,2, 1000000
28,16,4,2, 1000000
28,17,4,2, 1000000
28,18,4,2, 1000000
28,19,4,2, 1000000
28,20,4,2, 1000000
28,21,4,2, 1000000
28,22,3,2, 1000000
28,23,3,2, 1000000
28,24,3,2, 1000000
28,25,3,2, 1000000
28,26,3,2, 1000000
28,27,3,2, 1000000
28,28,3,2, 1000000
28,29,3,2, 1000000
28,1,68,3, 1000000
28,2,22,3, 1000000
28,3,16,3, 1000000
28,4,13,3, 1000000
28,5,11,3, 1000000
28,6,9,3, 1000000
28,7,9,3, 1000000
28,8,7,3, 1000000
28,9,7,3, 1000000
28,10,6,3, 1000000
28,11,6,3, 1000000
28,12,6,3, 1000000
28,13,5,3, 1000000
28,14,5,3, 1000000
28,15,5,3, 1000000
28,16,4,3, 1000000
28,17,4,3, 1000000
28,18,4,3, 1000000
28,19,4,3, 1000000
28,20,4,3, 1000000
28,21,4,3, 1000000
28,22,3,3, 1000000
28,23,3,3, 1000000
28,24,3,3, 1000000
28,25,3,3, 1000000
28,26,3,3, 1000000
28,27,3,3, 1000000
28,28,3,3, 1000000
28,29,3,3, 1000000
28,1,92,4, 1000000
28,2,28,4, 1000000
28,3,21,4, 1000000
28,4,21,4, 1000000
28,5,14,4, 1000000
28,6,12,4, 1000000
28,7,12,4, 1000000
28,8,10,4, 1000000
28,9,11,4, 1000000
28,10,10,4, 1000000
28,11,9,4, 1000000
28,12,9,4, 1000000
28,13,6,4, 1000000
28,14,6,4, 1000000
28,15,6,4, 1000000
28,16,6,4, 1000000
28,17,6,4, 1000000
28,18,6,4, 1000000
28,19,6,4, 1000000
28,20,5,4, 1000000
28,21,5,4, 1000000
28,22,4,4, 1000000
28,23,4,4, 1000000
28,24,4,4, 1000000
28,25,4,4, 1000000
28,26,4,4, 1000000
28,27,4,4, 1000000
28,28,4,4, 1000000
28,29,4,4, 1000000
28,1,61,5, 1000000
28,2,19,5, 1000000
28,3,14,5, 1000000
28,4,11,5, 1000000
28,5,9,5, 1000000
28,6,8,5, 1000000
28,7,8,5, 1000000
28,8,7,5, 1000000
28,9,6,5, 1000000
28,10,6,5, 1000000
28,11,6,5, 1000000
28,12,5,5, 1000000
28,13,5,5, 1000000
28,14,4,5, 1000000
28,15,5,5, 1000000
28,16,4,5, 1000000
28,17,4,5, 1000000
28,18,4,5, 1000000
28,19,4,5, 1000000
28,20,4,5, 1000000
28,21,4,5, 1000000
28,22,3,5, 1000000
28,23,3,5, 1000000
28,24,3,5, 1000000
28,25,3,5, 1000000
28,26,3,5, 1000000
28,27,3,5, 1000000
28,28,3,5, 1000000
28,29,3,5, 1000000
28,1,57,6, 1000000
28,2,33,6, 1000000
28,3,16,6, 1000000
28,4,13,6, 1000000
28,5,11,6, 1000000
28,6,9,6, 1000000
28,7,9,6, 1000000
28,8,7,6, 1000000
28,9,7,6, 1000000
28,10,7,6, 1000000
28,11,6,6, 1000000
28,12,6,6, 1000000
28,13,5,6, 1000000
28,14,5,6, 1000000
28,15,5,6, 1000000
28,16,4,6, 1000000
28,17,4,6, 1000000
28,18,4,6, 1000000
28,19,4,6, 1000000
28,20,4,6, 1000000
