s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,3.1749060,27, 100000000
radix,1,3.1749060,14, 100000000
quick,2,3.0681100,11, 100000000
radix,2,3.0681100,8, 100000000
quick,3,3.0538340,14, 100000000
radix,3,3.0538340,54, 100000000
quick,4,3.0223800,12, 100000000
radix,4,3.0223800,9, 100000000
quick,5,3.0450200,39, 100000000
radix,5,3.0450200,10, 100000000
quick,6,3.0351060,12, 100000000
radix,6,3.0351060,8, 100000000
quick,7,3.0584730,15, 100000000
radix,7,3.0584730,11, 100000000
quick,8,3.0243650,13, 100000000
radix,8,3.0243650,9, 100000000
quick,9,3.0412140,14, 100000000
radix,9,3.0412140,15, 100000000
quick,10,3.0583520,14, 100000000
radix,10,3.0583520,10, 100000000
