s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,2.8046490,18, 100000000
radix,1,2.8046490,9, 100000000
quick,2,2.7873410,10, 100000000
radix,2,2.7873410,7, 100000000
quick,3,2.7716290,8, 100000000
radix,3,2.7716290,7, 100000000
quick,4,2.7640890,9, 100000000
radix,4,2.7640890,6, 100000000
quick,5,2.7792250,11, 100000000
radix,5,2.7792250,9, 100000000
quick,6,2.7563900,12, 100000000
radix,6,2.7563900,12, 100000000
quick,7,2.7578520,12, 100000000
radix,7,2.7578520,24, 100000000
quick,8,2.7621430,17, 100000000
radix,8,2.7621430,7, 100000000
quick,9,2.7900060,8, 100000000
radix,9,2.7900060,6, 100000000
quick,10,2.7588460,9, 100000000
radix,10,2.7588460,7, 100000000
quick,11,2.7624280,10, 100000000
radix,11,2.7624280,8, 100000000
quick,12,2.7610060,8, 100000000
radix,12,2.7610060,6, 100000000
quick,13,2.7719640,9, 100000000
radix,13,2.7719640,7, 100000000
quick,14,2.9742110,10, 100000000
radix,14,2.9742110,8, 100000000
quick,15,2.7769980,9, 100000000
radix,15,2.7769980,6, 100000000
quick,16,2.7530330,10, 100000000
radix,16,2.7530330,6, 100000000
quick,17,2.7706000,10, 100000000
radix,17,2.7706000,7, 100000000
quick,18,2.7694140,9, 100000000
radix,18,2.7694140,7, 100000000
quick,19,2.7517010,20, 100000000
radix,19,2.7517010,10, 100000000
quick,20,2.7663960,20, 100000000
radix,20,2.7663960,10, 100000000
quick,21,2.7632430,10, 100000000
radix,21,2.7632430,8, 100000000
quick,22,2.7465930,8, 100000000
radix,22,2.7465930,6, 100000000
quick,23,2.7781400,9, 100000000
radix,23,2.7781400,36, 100000000
quick,24,2.8036170,9, 100000000
radix,24,2.8036170,6, 100000000
quick,25,2.8019840,14, 100000000
radix,25,2.8019840,11, 100000000
quick,26,2.7726050,10, 100000000
radix,26,2.7726050,7, 100000000
quick,27,2.7771760,21, 100000000
radix,27,2.7771760,9, 100000000
quick,28,2.7552460,18, 100000000
radix,28,2.7552460,8, 100000000
quick,29,2.7604170,48, 100000000
radix,29,2.7604170,7, 100000000
quick,30,2.7697690,9, 100000000
radix,30,2.7697690,46, 100000000
quick,31,2.7872770,8, 100000000
radix,31,2.7872770,40, 100000000
quick,32,2.7731010,11, 100000000
radix,32,2.7731010,13, 100000000
quick,33,2.7761290,8, 100000000
radix,33,2.7761290,6, 100000000
quick,34,2.7845620,9, 100000000
radix,34,2.7845620,6, 100000000
quick,35,2.7793100,10, 100000000
radix,35,2.7793100,43, 100000000
quick,36,2.7831380,9, 100000000
radix,36,2.7831380,7, 100000000
quick,37,2.7753120,11, 100000000
radix,37,2.7753120,9, 100000000
quick,38,2.7793800,10, 100000000
radix,38,2.7793800,7, 100000000
quick,39,2.7679200,10, 100000000
radix,39,2.7679200,10, 100000000
quick,40,2.7607760,8, 100000000
radix,40,2.7607760,7, 100000000
quick,41,2.7815560,8, 100000000
radix,41,2.7815560,6, 100000000
quick,42,2.7644060,8, 100000000
radix,42,2.7644060,6, 100000000
quick,43,2.7720090,19, 100000000
radix,43,2.7720090,8, 100000000
quick,44,2.7628300,8, 100000000
radix,44,2.7628300,6, 100000000
quick,45,2.7808860,9, 100000000
radix,45,2.7808860,8, 100000000
quick,46,2.7620810,9, 100000000
radix,46,2.7620810,7, 100000000
quick,47,2.7697740,8, 100000000
radix,47,2.7697740,7, 100000000
quick,48,2.7679440,17, 100000000
radix,48,2.7679440,44, 100000000
quick,49,2.7851520,18, 100000000
radix,49,2.7851520,11, 100000000
quick,50,2.7763630,8, 100000000
radix,50,2.7763630,6, 100000000
quick,51,2.7711280,18, 100000000
radix,51,2.7711280,12, 100000000
quick,52,2.7807960,8, 100000000
radix,52,2.7807960,7, 100000000
quick,53,2.7650140,8, 100000000
radix,53,2.7650140,6, 100000000
quick,54,2.7658490,10, 100000000
radix,54,2.7658490,8, 100000000
quick,55,2.7689350,9, 100000000
radix,55,2.7689350,8, 100000000
quick,56,2.7807650,9, 100000000
radix,56,2.7807650,24, 100000000
quick,57,2.7668000,19, 100000000
radix,57,2.7668000,9, 100000000
quick,58,2.7657590,10, 100000000
radix,58,2.7657590,7, 100000000
quick,59,2.7891010,10, 100000000
radix,59,2.7891010,8, 100000000
quick,60,2.7732490,8, 100000000
radix,60,2.7732490,6, 100000000
quick,61,2.7786060,10, 100000000
radix,61,2.7786060,8, 100000000
quick,62,2.7952410,18, 100000000
radix,62,2.7952410,12, 100000000
quick,63,2.8227300,38, 100000000
radix,63,2.8227300,9, 100000000
quick,64,2.7850840,9, 100000000
radix,64,2.7850840,7, 100000000
quick,65,2.7827910,8, 100000000
radix,65,2.7827910,6, 100000000
quick,66,2.7638590,9, 100000000
radix,66,2.7638590,6, 100000000
quick,67,2.7923980,17, 100000000
radix,67,2.7923980,8, 100000000
quick,68,2.8073170,9, 100000000
radix,68,2.8073170,7, 100000000
quick,69,2.7904740,10, 100000000
radix,69,2.7904740,28, 100000000
quick,70,2.7740400,8, 100000000
radix,70,2.7740400,6, 100000000
quick,71,2.8002210,9, 100000000
radix,71,2.8002210,7, 100000000
quick,72,2.7873810,17, 100000000
radix,72,2.7873810,9, 100000000
quick,73,2.7620160,10, 100000000
radix,73,2.7620160,8, 100000000
quick,74,2.7845570,11, 100000000
radix,74,2.7845570,10, 100000000
quick,75,2.7616710,8, 100000000
radix,75,2.7616710,7, 100000000
quick,76,2.7712540,14, 100000000
radix,76,2.7712540,14, 100000000
quick,77,2.7616550,8, 100000000
radix,77,2.7616550,6, 100000000
quick,78,2.7776140,9, 100000000
radix,78,2.7776140,7, 100000000
quick,79,2.7671850,17, 100000000
radix,79,2.7671850,7, 100000000
quick,80,2.7539290,8, 100000000
radix,80,2.7539290,6, 100000000
quick,81,2.7662530,10, 100000000
radix,81,2.7662530,7, 100000000
quick,82,2.7474480,18, 100000000
radix,82,2.7474480,43, 100000000
quick,83,2.7528320,10, 100000000
radix,83,2.7528320,10, 100000000
quick,84,2.7468880,17, 100000000
radix,84,2.7468880,8, 100000000
quick,85,2.7571040,26, 100000000
radix,85,2.7571040,6, 100000000
quick,86,2.7526070,10, 100000000
radix,86,2.7526070,7, 100000000
quick,87,2.7461330,19, 100000000
radix,87,2.7461330,8, 100000000
quick,88,2.7659020,9, 100000000
radix,88,2.7659020,6, 100000000
