s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,3.1998700,21, 100000000
radix,1,3.1998700,11, 100000000
quick,2,3.0234940,10, 100000000
radix,2,3.0234940,7, 100000000
quick,3,3.0125020,19, 100000000
radix,3,3.0125020,7, 100000000
quick,4,3.0262620,22, 100000000
radix,4,3.0262620,10, 100000000
quick,5,3.0105510,13, 100000000
radix,5,3.0105510,8, 100000000
quick,6,3.0251760,19, 100000000
radix,6,3.0251760,8, 100000000
quick,7,3.0082300,19, 100000000
radix,7,3.0082300,9, 100000000
quick,8,3.0404440,18, 100000000
radix,8,3.0404440,7, 100000000
quick,9,3.0168420,19, 100000000
radix,9,3.0168420,7, 100000000
quick,10,3.0154100,19, 100000000
radix,10,3.0154100,7, 100000000
