n_universo, k, tiempo (micro segundos), iteracion, cantidad_valores_en_arreglo
18,1,81,1, 1000000
18,2,18,1, 1000000
18,3,12,1, 1000000
18,4,9,1, 1000000
18,5,8,1, 1000000
18,6,6,1, 1000000
18,7,6,1, 1000000
18,8,5,1, 1000000
18,9,8,1, 1000000
18,10,8,1, 1000000
18,11,6,1, 1000000
18,12,6,1, 1000000
18,13,6,1, 1000000
18,14,5,1, 1000000
18,15,6,1, 1000000
18,16,5,1, 1000000
18,17,4,1, 1000000
18,18,4,1, 1000000
18,19,4,1, 1000000
18,1,55,2, 1000000
18,2,29,2, 1000000
18,3,21,2, 1000000
18,4,17,2, 1000000
18,5,24,2, 1000000
18,6,10,2, 1000000
18,7,9,2, 1000000
18,8,8,2, 1000000
18,9,8,2, 1000000
18,10,7,2, 1000000
18,11,6,2, 1000000
18,12,7,2, 1000000
18,13,6,2, 1000000
18,14,5,2, 1000000
18,15,6,2, 1000000
18,16,5,2, 1000000
18,17,5,2, 1000000
18,18,5,2, 1000000
18,19,5,2, 1000000
18,1,72,3, 1000000
18,2,42,3, 1000000
18,3,21,3, 1000000
18,4,17,3, 1000000
18,5,13,3, 1000000
18,6,13,3, 1000000
18,7,14,3, 1000000
18,8,9,3, 1000000
18,9,8,3, 1000000
18,10,6,3, 1000000
18,11,5,3, 1000000
18,12,5,3, 1000000
18,13,4,3, 1000000
18,14,4,3, 1000000
18,15,6,3, 1000000
18,16,4,3, 1000000
18,17,3,3, 1000000
18,18,3,3, 1000000
18,19,5,3, 1000000
18,1,59,4, 1000000
18,2,41,4, 1000000
18,3,15,4, 1000000
18,4,11,4, 1000000
18,5,9,4, 1000000
18,6,7,4, 1000000
18,7,7,4, 1000000
18,8,6,4, 1000000
18,9,6,4, 1000000
18,10,9,4, 1000000
18,11,7,4, 1000000
18,12,4,4, 1000000
18,13,3,4, 1000000
18,14,5,4, 1000000
18,15,5,4, 1000000
18,16,3,4, 1000000
18,17,3,4, 1000000
18,18,3,4, 1000000
18,19,2,4, 1000000
18,1,68,5, 1000000
18,2,17,5, 1000000
18,3,12,5, 1000000
18,4,9,5, 1000000
18,5,7,5, 1000000
18,6,6,5, 1000000
18,7,6,5, 1000000
18,8,5,5, 1000000
18,9,5,5, 1000000
18,10,39,5, 1000000
18,11,6,5, 1000000
18,12,4,5, 1000000
18,13,3,5, 1000000
18,14,4,5, 1000000
18,15,5,5, 1000000
18,16,2,5, 1000000
18,17,3,5, 1000000
18,18,2,5, 1000000
18,19,3,5, 1000000
18,1,55,6, 1000000
18,2,18,6, 1000000
18,3,12,6, 1000000
18,4,9,6, 1000000
18,5,8,6, 1000000
18,6,6,6, 1000000
18,7,6,6, 1000000
18,8,5,6, 1000000
18,9,5,6, 1000000
18,10,4,6, 1000000
18,11,4,6, 1000000
18,12,4,6, 1000000
18,13,3,6, 1000000
18,14,3,6, 1000000
18,15,3,6, 1000000
18,16,3,6, 1000000
18,17,2,6, 1000000
18,18,2,6, 1000000
18,19,2,6, 1000000
18,1,47,7, 1000000
18,2,15,7, 1000000
18,3,10,7, 1000000
18,4,8,7, 1000000
18,5,6,7, 1000000
18,6,5,7, 1000000
18,7,5,7, 1000000
18,8,4,7, 1000000
18,9,4,7, 1000000
18,10,3,7, 1000000
18,11,3,7, 1000000
18,12,3,7, 1000000
18,13,3,7, 1000000
18,14,2,7, 1000000
18,15,2,7, 1000000
18,16,2,7, 1000000
18,17,2,7, 1000000
18,18,2,7, 1000000
18,19,2,7, 1000000
18,1,43,8, 1000000
18,2,35,8, 1000000
18,3,13,8, 1000000
18,4,10,8, 1000000
18,5,8,8, 1000000
18,6,7,8, 1000000
18,7,9,8, 1000000
18,8,8,8, 1000000
18,9,7,8, 1000000
18,10,6,8, 1000000
18,11,5,8, 1000000
18,12,6,8, 1000000
18,13,5,8, 1000000
18,14,5,8, 1000000
18,15,4,8, 1000000
18,16,3,8, 1000000
18,17,3,8, 1000000
18,18,3,8, 1000000
18,19,3,8, 1000000
18,1,64,9, 1000000
18,2,18,9, 1000000
18,3,12,9, 1000000
18,4,9,9, 1000000
18,5,8,9, 1000000
18,6,7,9, 1000000
18,7,6,9, 1000000
18,8,5,9, 1000000
18,9,5,9, 1000000
18,10,4,9, 1000000
18,11,3,9, 1000000
18,12,4,9, 1000000
18,13,3,9, 1000000
18,14,3,9, 1000000
18,15,3,9, 1000000
18,16,2,9, 1000000
18,17,2,9, 1000000
18,18,2,9, 1000000
18,19,2,9, 1000000
18,1,121,10, 1000000
18,2,19,10, 1000000
18,3,13,10, 1000000
18,4,10,10, 1000000
18,5,8,10, 1000000
18,6,7,10, 1000000
18,7,6,10, 1000000
18,8,5,10, 1000000
18,9,5,10, 1000000
18,10,4,10, 1000000
18,11,3,10, 1000000
18,12,4,10, 1000000
18,13,3,10, 1000000
18,14,3,10, 1000000
18,15,3,10, 1000000
18,16,2,10, 1000000
18,17,3,10, 1000000
18,18,2,10, 1000000
18,19,2,10, 1000000
