n_universo, k, tiempo (micro segundos), iteracion, cantidad_valores_en_arreglo
53,1,28,1, 1000000
53,2,13,1, 1000000
53,3,9,1, 1000000
53,4,7,1, 1000000
53,5,5,1, 1000000
53,6,5,1, 1000000
53,7,4,1, 1000000
53,8,3,1, 1000000
53,9,3,1, 1000000
53,10,3,1, 1000000
53,11,2,1, 1000000
53,12,4,1, 1000000
53,13,3,1, 1000000
53,14,3,1, 1000000
53,15,3,1, 1000000
53,16,2,1, 1000000
53,17,2,1, 1000000
53,18,2,1, 1000000
53,19,2,1, 1000000
53,20,3,1, 1000000
53,21,3,1, 1000000
53,22,2,1, 1000000
53,23,2,1, 1000000
53,24,2,1, 1000000
53,25,2,1, 1000000
53,26,2,1, 1000000
53,27,2,1, 1000000
53,28,2,1, 1000000
53,29,3,1, 1000000
53,30,3,1, 1000000
53,31,3,1, 1000000
53,32,2,1, 1000000
53,33,2,1, 1000000
53,34,2,1, 1000000
53,35,2,1, 1000000
53,36,1,1, 1000000
53,37,2,1, 1000000
53,38,2,1, 1000000
53,39,2,1, 1000000
53,40,2,1, 1000000
53,41,1,1, 1000000
53,42,2,1, 1000000
53,43,2,1, 1000000
53,44,2,1, 1000000
53,45,2,1, 1000000
53,46,2,1, 1000000
53,47,2,1, 1000000
53,48,2,1, 1000000
53,49,1,1, 1000000
53,50,2,1, 1000000
53,51,1,1, 1000000
53,52,2,1, 1000000
53,53,2,1, 1000000
53,54,2,1, 1000000
53,1,47,2, 1000000
53,2,25,2, 1000000
53,3,11,2, 1000000
53,4,8,2, 1000000
53,5,6,2, 1000000
53,6,5,2, 1000000
53,7,5,2, 1000000
53,8,4,2, 1000000
53,9,4,2, 1000000
53,10,3,2, 1000000
53,11,5,2, 1000000
53,12,5,2, 1000000
53,13,4,2, 1000000
53,14,4,2, 1000000
53,15,3,2, 1000000
53,16,3,2, 1000000
53,17,3,2, 1000000
53,18,3,2, 1000000
53,19,3,2, 1000000
53,20,2,2, 1000000
53,21,2,2, 1000000
53,22,2,2, 1000000
53,23,2,2, 1000000
53,24,1,2, 1000000
53,25,1,2, 1000000
53,26,1,2, 1000000
53,27,1,2, 1000000
53,28,1,2, 1000000
53,29,1,2, 1000000
53,30,1,2, 1000000
53,31,2,2, 1000000
53,32,1,2, 1000000
53,33,1,2, 1000000
53,34,2,2, 1000000
53,35,1,2, 1000000
53,36,1,2, 1000000
53,37,1,2, 1000000
53,38,1,2, 1000000
53,39,1,2, 1000000
53,40,1,2, 1000000
53,41,1,2, 1000000
53,42,1,2, 1000000
53,43,1,2, 1000000
53,44,1,2, 1000000
53,45,1,2, 1000000
53,46,1,2, 1000000
53,47,1,2, 1000000
53,48,1,2, 1000000
53,49,1,2, 1000000
53,50,1,2, 1000000
53,51,1,2, 1000000
53,52,1,2, 1000000
53,53,1,2, 1000000
53,54,1,2, 1000000
53,1,51,3, 1000000
53,2,20,3, 1000000
53,3,14,3, 1000000
53,4,24,3, 1000000
53,5,7,3, 1000000
53,6,6,3, 1000000
53,7,5,3, 1000000
53,8,4,3, 1000000
53,9,4,3, 1000000
53,10,4,3, 1000000
53,11,4,3, 1000000
53,12,3,3, 1000000
53,13,3,3, 1000000
53,14,3,3, 1000000
53,15,3,3, 1000000
53,16,2,3, 1000000
53,17,2,3, 1000000
53,18,2,3, 1000000
53,19,2,3, 1000000
53,20,2,3, 1000000
53,21,2,3, 1000000
53,22,2,3, 1000000
53,23,1,3, 1000000
53,24,2,3, 1000000
53,25,2,3, 1000000
53,26,2,3, 1000000
53,27,2,3, 1000000
53,28,2,3, 1000000
53,29,2,3, 1000000
53,30,2,3, 1000000
53,31,2,3, 1000000
53,32,1,3, 1000000
53,33,1,3, 1000000
53,34,1,3, 1000000
53,35,1,3, 1000000
53,36,1,3, 1000000
53,37,1,3, 1000000
53,38,1,3, 1000000
53,39,1,3, 1000000
53,40,1,3, 1000000
53,41,1,3, 1000000
53,42,1,3, 1000000
53,43,1,3, 1000000
53,44,1,3, 1000000
53,45,1,3, 1000000
53,46,1,3, 1000000
53,47,1,3, 1000000
53,48,1,3, 1000000
53,49,1,3, 1000000
53,50,1,3, 1000000
53,51,1,3, 1000000
53,52,1,3, 1000000
53,53,1,3, 1000000
53,54,1,3, 1000000
53,1,60,4, 1000000
53,2,23,4, 1000000
53,3,22,4, 1000000
53,4,15,4, 1000000
53,5,11,4, 1000000
53,6,10,4, 1000000
53,7,9,4, 1000000
53,8,7,4, 1000000
53,9,8,4, 1000000
53,10,7,4, 1000000
53,11,6,4, 1000000
53,12,6,4, 1000000
53,13,6,4, 1000000
53,14,5,4, 1000000
53,15,5,4, 1000000
53,16,4,4, 1000000
53,17,4,4, 1000000
53,18,4,4, 1000000
53,19,4,4, 1000000
53,20,4,4, 1000000
53,21,4,4, 1000000
53,22,3,4, 1000000
53,23,3,4, 1000000
53,24,3,4, 1000000
53,25,3,4, 1000000
53,26,3,4, 1000000
53,27,3,4, 1000000
53,28,3,4, 1000000
53,29,3,4, 1000000
53,30,3,4, 1000000
53,31,3,4, 1000000
53,32,2,4, 1000000
53,33,2,4, 1000000
53,34,2,4, 1000000
53,35,2,4, 1000000
53,36,2,4, 1000000
53,37,2,4, 1000000
53,38,2,4, 1000000
53,39,2,4, 1000000
53,40,2,4, 1000000
53,41,2,4, 1000000
53,42,2,4, 1000000
53,43,2,4, 1000000
53,44,2,4, 1000000
53,45,2,4, 1000000
53,46,2,4, 1000000
53,47,2,4, 1000000
53,48,2,4, 1000000
53,49,2,4, 1000000
53,50,2,4, 1000000
53,51,2,4, 1000000
53,52,2,4, 1000000
53,53,2,4, 1000000
53,54,2,4, 1000000
53,1,32,5, 1000000
53,2,15,5, 1000000
53,3,10,5, 1000000
53,4,7,5, 1000000
53,5,6,5, 1000000
53,6,9,5, 1000000
53,7,8,5, 1000000
53,8,5,5, 1000000
53,9,5,5, 1000000
53,10,5,5, 1000000
53,11,5,5, 1000000
53,12,5,5, 1000000
53,13,4,5, 1000000
53,14,4,5, 1000000
53,15,4,5, 1000000
53,16,3,5, 1000000
53,17,3,5, 1000000
53,18,3,5, 1000000
53,19,3,5, 1000000
53,20,3,5, 1000000
53,21,3,5, 1000000
53,22,2,5, 1000000
53,23,2,5, 1000000
53,24,2,5, 1000000
53,25,3,5, 1000000
53,26,3,5, 1000000
53,27,3,5, 1000000
53,28,3,5, 1000000
53,29,2,5, 1000000
53,30,3,5, 1000000
53,31,3,5, 1000000
53,32,2,5, 1000000
53,33,2,5, 1000000
53,34,2,5, 1000000
53,35,2,5, 1000000
53,36,2,5, 1000000
53,37,2,5, 1000000
53,38,2,5, 1000000
53,39,2,5, 1000000
53,40,2,5, 1000000
53,41,2,5, 1000000
53,42,2,5, 1000000
53,43,2,5, 1000000
53,44,2,5, 1000000
53,45,2,5, 1000000
53,46,2,5, 1000000
53,47,2,5, 1000000
53,48,2,5, 1000000
53,49,2,5, 1000000
53,50,2,5, 1000000
53,51,2,5, 1000000
53,52,2,5, 1000000
53,53,2,5, 1000000
53,54,2,5, 1000000
53,1,38,6, 1000000
53,2,18,6, 1000000
53,3,12,6, 1000000
53,4,10,6, 1000000
53,5,13,6, 1000000
53,6,10,6, 1000000
53,7,8,6, 1000000
53,8,6,6, 1000000
53,9,7,6, 1000000
53,10,6,6, 1000000
53,11,5,6, 1000000
53,12,3,6, 1000000
53,13,4,6, 1000000
53,14,5,6, 1000000
53,15,5,6, 1000000
53,16,4,6, 1000000
53,17,3,6, 1000000
53,18,3,6, 1000000
53,19,3,6, 1000000
53,20,3,6, 1000000
53,21,3,6, 1000000
53,22,2,6, 1000000
53,23,2,6, 1000000
53,24,2,6, 1000000
53,25,2,6, 1000000
53,26,2,6, 1000000
53,27,2,6, 1000000
53,28,2,6, 1000000
53,29,2,6, 1000000
53,30,2,6, 1000000
53,31,2,6, 1000000
53,32,1,6, 1000000
