s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,2.8157010,8, 100000000
radix,1,2.8157010,6, 100000000
quick,2,2.7951150,9, 100000000
radix,2,2.7951150,8, 100000000
quick,3,2.8116600,17, 100000000
radix,3,2.8116600,8, 100000000
quick,4,2.7969990,20, 100000000
radix,4,2.7969990,10, 100000000
quick,5,2.7936230,24, 100000000
radix,5,2.7936230,9, 100000000
quick,6,2.7895190,10, 100000000
radix,6,2.7895190,7, 100000000
quick,7,2.8044130,8, 100000000
radix,7,2.8044130,6, 100000000
quick,8,2.7933230,16, 100000000
radix,8,2.7933230,15, 100000000
quick,9,2.8085880,21, 100000000
radix,9,2.8085880,17, 100000000
quick,10,2.7996720,10, 100000000
radix,10,2.7996720,55, 100000000
quick,11,2.7946340,8, 100000000
radix,11,2.7946340,6, 100000000
quick,12,2.8100280,8, 100000000
radix,12,2.8100280,7, 100000000
quick,13,2.8043430,8, 100000000
radix,13,2.8043430,7, 100000000
quick,14,2.8015570,8, 100000000
radix,14,2.8015570,6, 100000000
quick,15,2.7882130,20, 100000000
radix,15,2.7882130,13, 100000000
quick,16,2.7901280,9, 100000000
radix,16,2.7901280,7, 100000000
quick,17,2.8021490,9, 100000000
radix,17,2.8021490,7, 100000000
quick,18,2.7916410,9, 100000000
radix,18,2.7916410,8, 100000000
quick,19,2.7843230,10, 100000000
radix,19,2.7843230,23, 100000000
quick,20,2.7872170,17, 100000000
radix,20,2.7872170,8, 100000000
quick,21,2.7869820,10, 100000000
radix,21,2.7869820,7, 100000000
quick,22,2.7970890,8, 100000000
radix,22,2.7970890,6, 100000000
quick,23,2.8080100,9, 100000000
radix,23,2.8080100,22, 100000000
quick,24,2.7905810,8, 100000000
radix,24,2.7905810,6, 100000000
quick,25,2.7949130,17, 100000000
radix,25,2.7949130,7, 100000000
quick,26,2.8008270,9, 100000000
radix,26,2.8008270,6, 100000000
quick,27,2.7944520,18, 100000000
radix,27,2.7944520,8, 100000000
quick,28,2.7881080,17, 100000000
radix,28,2.7881080,8, 100000000
quick,29,2.7824930,11, 100000000
radix,29,2.7824930,6, 100000000
quick,30,2.7875140,12, 100000000
radix,30,2.7875140,10, 100000000
quick,31,2.7795970,8, 100000000
radix,31,2.7795970,6, 100000000
quick,32,2.8244420,9, 100000000
radix,32,2.8244420,7, 100000000
quick,33,2.8201960,8, 100000000
radix,33,2.8201960,7, 100000000
quick,34,2.7967440,8, 100000000
radix,34,2.7967440,6, 100000000
quick,35,2.7856090,8, 100000000
radix,35,2.7856090,7, 100000000
quick,36,2.7751040,19, 100000000
radix,36,2.7751040,9, 100000000
quick,37,2.7908750,8, 100000000
radix,37,2.7908750,7, 100000000
quick,38,2.7753920,17, 100000000
radix,38,2.7753920,7, 100000000
quick,39,2.7977090,17, 100000000
radix,39,2.7977090,11, 100000000
quick,40,2.7820470,10, 100000000
radix,40,2.7820470,9, 100000000
quick,41,2.7934190,8, 100000000
radix,41,2.7934190,6, 100000000
quick,42,2.7951290,9, 100000000
radix,42,2.7951290,7, 100000000
quick,43,2.7856730,8, 100000000
radix,43,2.7856730,6, 100000000
quick,44,2.7982240,8, 100000000
radix,44,2.7982240,6, 100000000
quick,45,2.7872720,18, 100000000
radix,45,2.7872720,11, 100000000
quick,46,2.7958060,8, 100000000
radix,46,2.7958060,6, 100000000
quick,47,2.7944370,9, 100000000
radix,47,2.7944370,7, 100000000
quick,48,2.8113110,17, 100000000
radix,48,2.8113110,8, 100000000
quick,49,2.7794890,18, 100000000
radix,49,2.7794890,8, 100000000
quick,50,2.7743370,49, 100000000
radix,50,2.7743370,6, 100000000
quick,51,2.7861620,17, 100000000
radix,51,2.7861620,8, 100000000
quick,52,2.7837690,86, 100000000
radix,52,2.7837690,57, 100000000
quick,53,2.7895730,10, 100000000
radix,53,2.7895730,7, 100000000
quick,54,2.7848410,9, 100000000
radix,54,2.7848410,7, 100000000
quick,55,2.7816200,10, 100000000
radix,55,2.7816200,7, 100000000
quick,56,2.7928270,11, 100000000
radix,56,2.7928270,8, 100000000
quick,57,2.7920420,9, 100000000
radix,57,2.7920420,7, 100000000
quick,58,2.7794610,9, 100000000
radix,58,2.7794610,7, 100000000
quick,59,2.7926790,17, 100000000
radix,59,2.7926790,8, 100000000
quick,60,2.7795500,8, 100000000
radix,60,2.7795500,6, 100000000
quick,61,2.7861740,11, 100000000
radix,61,2.7861740,9, 100000000
quick,62,2.7953650,8, 100000000
radix,62,2.7953650,6, 100000000
quick,63,2.7996200,9, 100000000
radix,63,2.7996200,6, 100000000
quick,64,2.8261830,9, 100000000
radix,64,2.8261830,6, 100000000
quick,65,2.7997950,10, 100000000
radix,65,2.7997950,25, 100000000
quick,66,2.8156160,52, 100000000
radix,66,2.8156160,8, 100000000
quick,67,2.8033560,37, 100000000
radix,67,2.8033560,7, 100000000
quick,68,2.7995260,9, 100000000
radix,68,2.7995260,7, 100000000
quick,69,2.7842810,10, 100000000
radix,69,2.7842810,7, 100000000
quick,70,2.7991670,8, 100000000
radix,70,2.7991670,7, 100000000
quick,71,2.8068810,12, 100000000
radix,71,2.8068810,13, 100000000
quick,72,2.7896480,45, 100000000
radix,72,2.7896480,7, 100000000
quick,73,2.7858130,18, 100000000
radix,73,2.7858130,8, 100000000
quick,74,2.7961030,8, 100000000
radix,74,2.7961030,6, 100000000
quick,75,2.8034100,19, 100000000
radix,75,2.8034100,10, 100000000
quick,76,2.8015960,18, 100000000
radix,76,2.8015960,10, 100000000
quick,77,2.7954290,13, 100000000
radix,77,2.7954290,11, 100000000
quick,78,2.7998610,20, 100000000
radix,78,2.7998610,10, 100000000
quick,79,2.7933600,15, 100000000
radix,79,2.7933600,7, 100000000
quick,80,2.8025910,9, 100000000
radix,80,2.8025910,6, 100000000
quick,81,2.7977400,9, 100000000
radix,81,2.7977400,27, 100000000
quick,82,2.8035920,13, 100000000
radix,82,2.8035920,11, 100000000
quick,83,2.7968820,9, 100000000
radix,83,2.7968820,15, 100000000
quick,84,2.7973600,9, 100000000
radix,84,2.7973600,7, 100000000
quick,85,2.8009890,8, 100000000
radix,85,2.8009890,6, 100000000
quick,86,2.7991180,8, 100000000
radix,86,2.7991180,6, 100000000
quick,87,2.8073410,9, 100000000
radix,87,2.8073410,7, 100000000
quick,88,2.7906350,17, 100000000
radix,88,2.7906350,7, 100000000
quick,89,2.7974680,8, 100000000
radix,89,2.7974680,6, 100000000
quick,90,2.7818920,89, 100000000
radix,90,2.7818920,32, 100000000
quick,91,2.8309850,57, 100000000
radix,91,2.8309850,15, 100000000
quick,92,2.7865500,8, 100000000
radix,92,2.7865500,7, 100000000
quick,93,2.7977510,8, 100000000
radix,93,2.7977510,9, 100000000
quick,94,2.7664510,8, 100000000
radix,94,2.7664510,7, 100000000
quick,95,2.7690720,9, 100000000
radix,95,2.7690720,7, 100000000
quick,96,2.8208540,19, 100000000
radix,96,2.8208540,10, 100000000
quick,97,2.8379410,11, 100000000
radix,97,2.8379410,9, 100000000
quick,98,2.7892970,13, 100000000
radix,98,2.7892970,13, 100000000
quick,99,2.7755620,43, 100000000
radix,99,2.7755620,8, 100000000
quick,100,2.7870120,8, 100000000
radix,100,2.7870120,6, 100000000
