n_universo, k, tiempo (micro segundos), iteracion, cantidad_valores_en_arreglo
36,1,41,1, 1000000
36,2,13,1, 1000000
36,3,9,1, 1000000
36,4,7,1, 1000000
36,5,5,1, 1000000
36,6,5,1, 1000000
36,7,4,1, 1000000
36,8,3,1, 1000000
36,9,3,1, 1000000
36,10,3,1, 1000000
36,11,3,1, 1000000
36,12,2,1, 1000000
36,13,2,1, 1000000
36,14,2,1, 1000000
36,15,2,1, 1000000
36,16,2,1, 1000000
36,17,2,1, 1000000
36,18,2,1, 1000000
36,19,2,1, 1000000
36,20,2,1, 1000000
36,21,2,1, 1000000
36,22,1,1, 1000000
36,23,1,1, 1000000
36,24,1,1, 1000000
36,25,1,1, 1000000
36,26,1,1, 1000000
36,27,1,1, 1000000
36,28,1,1, 1000000
36,29,1,1, 1000000
36,30,1,1, 1000000
36,31,1,1, 1000000
36,32,1,1, 1000000
36,33,1,1, 1000000
36,34,1,1, 1000000
36,35,1,1, 1000000
36,36,1,1, 1000000
36,37,1,1, 1000000
36,1,34,2, 1000000
36,2,12,2, 1000000
36,3,8,2, 1000000
36,4,6,2, 1000000
36,5,5,2, 1000000
36,6,4,2, 1000000
36,7,4,2, 1000000
36,8,3,2, 1000000
36,9,3,2, 1000000
36,10,3,2, 1000000
36,11,2,2, 1000000
36,12,2,2, 1000000
36,13,2,2, 1000000
36,14,2,2, 1000000
36,15,2,2, 1000000
36,16,1,2, 1000000
36,17,1,2, 1000000
36,18,1,2, 1000000
36,19,1,2, 1000000
36,20,1,2, 1000000
36,21,1,2, 1000000
36,22,1,2, 1000000
36,23,1,2, 1000000
36,24,1,2, 1000000
36,25,1,2, 1000000
36,26,1,2, 1000000
36,27,1,2, 1000000
36,28,1,2, 1000000
36,29,1,2, 1000000
36,30,1,2, 1000000
36,31,1,2, 1000000
36,32,1,2, 1000000
36,33,1,2, 1000000
36,34,1,2, 1000000
36,35,1,2, 1000000
36,36,1,2, 1000000
36,37,1,2, 1000000
36,1,80,3, 1000000
36,2,12,3, 1000000
36,3,8,3, 1000000
36,4,6,3, 1000000
36,5,5,3, 1000000
36,6,4,3, 1000000
36,7,4,3, 1000000
36,8,3,3, 1000000
36,9,3,3, 1000000
36,10,3,3, 1000000
36,11,2,3, 1000000
36,12,2,3, 1000000
36,13,2,3, 1000000
36,14,2,3, 1000000
36,15,2,3, 1000000
36,16,1,3, 1000000
36,17,2,3, 1000000
36,18,2,3, 1000000
36,19,1,3, 1000000
36,20,1,3, 1000000
36,21,1,3, 1000000
36,22,1,3, 1000000
36,23,1,3, 1000000
36,24,1,3, 1000000
36,25,1,3, 1000000
36,26,1,3, 1000000
36,27,1,3, 1000000
36,28,1,3, 1000000
36,29,1,3, 1000000
36,30,1,3, 1000000
36,31,1,3, 1000000
36,32,1,3, 1000000
36,33,1,3, 1000000
36,34,1,3, 1000000
36,35,1,3, 1000000
36,36,1,3, 1000000
36,37,1,3, 1000000
36,1,38,4, 1000000
36,2,21,4, 1000000
36,3,9,4, 1000000
36,4,6,4, 1000000
36,5,5,4, 1000000
36,6,4,4, 1000000
36,7,4,4, 1000000
36,8,3,4, 1000000
36,9,3,4, 1000000
36,10,3,4, 1000000
36,11,2,4, 1000000
36,12,2,4, 1000000
36,13,2,4, 1000000
36,14,2,4, 1000000
36,15,2,4, 1000000
36,16,2,4, 1000000
36,17,1,4, 1000000
36,18,1,4, 1000000
36,19,1,4, 1000000
36,20,1,4, 1000000
36,21,1,4, 1000000
36,22,1,4, 1000000
36,23,1,4, 1000000
36,24,1,4, 1000000
36,25,1,4, 1000000
36,26,1,4, 1000000
36,27,1,4, 1000000
36,28,1,4, 1000000
36,29,1,4, 1000000
36,30,1,4, 1000000
36,31,1,4, 1000000
36,32,1,4, 1000000
36,33,1,4, 1000000
36,34,1,4, 1000000
36,35,1,4, 1000000
36,36,1,4, 1000000
36,37,1,4, 1000000
36,1,25,5, 1000000
36,2,11,5, 1000000
36,3,7,5, 1000000
36,4,6,5, 1000000
36,5,7,5, 1000000
36,6,6,5, 1000000
36,7,3,5, 1000000
36,8,3,5, 1000000
36,9,40,5, 1000000
36,10,3,5, 1000000
36,11,2,5, 1000000
36,12,2,5, 1000000
36,13,2,5, 1000000
36,14,2,5, 1000000
36,15,2,5, 1000000
36,16,1,5, 1000000
36,17,2,5, 1000000
36,18,1,5, 1000000
36,19,2,5, 1000000
36,20,1,5, 1000000
36,21,1,5, 1000000
36,22,1,5, 1000000
36,23,1,5, 1000000
36,24,1,5, 1000000
36,25,1,5, 1000000
36,26,1,5, 1000000
36,27,1,5, 1000000
36,28,1,5, 1000000
36,29,1,5, 1000000
36,30,2,5, 1000000
36,31,2,5, 1000000
36,32,1,5, 1000000
36,33,1,5, 1000000
36,34,1,5, 1000000
36,35,1,5, 1000000
36,36,1,5, 1000000
36,37,1,5, 1000000
36,1,25,6, 1000000
36,2,11,6, 1000000
36,3,14,6, 1000000
36,4,6,6, 1000000
36,5,53,6, 1000000
36,6,4,6, 1000000
36,7,4,6, 1000000
36,8,3,6, 1000000
36,9,3,6, 1000000
36,10,3,6, 1000000
36,11,2,6, 1000000
36,12,2,6, 1000000
36,13,2,6, 1000000
36,14,2,6, 1000000
36,15,3,6, 1000000
36,16,2,6, 1000000
36,17,3,6, 1000000
36,18,2,6, 1000000
36,19,2,6, 1000000
36,20,1,6, 1000000
36,21,1,6, 1000000
36,22,1,6, 1000000
36,23,2,6, 1000000
36,24,2,6, 1000000
36,25,2,6, 1000000
36,26,1,6, 1000000
36,27,1,6, 1000000
36,28,2,6, 1000000
36,29,2,6, 1000000
36,30,2,6, 1000000
36,31,1,6, 1000000
36,32,1,6, 1000000
36,33,1,6, 1000000
36,34,1,6, 1000000
36,35,1,6, 1000000
36,36,1,6, 1000000
36,37,1,6, 1000000
36,1,44,7, 1000000
36,2,23,7, 1000000
36,3,9,7, 1000000
36,4,6,7, 1000000
36,5,5,7, 1000000
36,6,4,7, 1000000
36,7,4,7, 1000000
36,8,3,7, 1000000
36,9,3,7, 1000000
36,10,3,7, 1000000
36,11,2,7, 1000000
36,12,2,7, 1000000
36,13,2,7, 1000000
36,14,2,7, 1000000
36,15,2,7, 1000000
36,16,2,7, 1000000
36,17,2,7, 1000000
36,18,1,7, 1000000
36,19,2,7, 1000000
36,20,2,7, 1000000
36,21,2,7, 1000000
36,22,1,7, 1000000
36,23,1,7, 1000000
36,24,1,7, 1000000
36,25,1,7, 1000000
36,26,1,7, 1000000
36,27,1,7, 1000000
36,28,1,7, 1000000
36,29,1,7, 1000000
36,30,1,7, 1000000
36,31,1,7, 1000000
36,32,1,7, 1000000
36,33,1,7, 1000000
36,34,1,7, 1000000
36,35,1,7, 1000000
36,36,1,7, 1000000
36,37,1,7, 1000000
36,1,38,8, 1000000
36,2,14,8, 1000000
36,3,9,8, 1000000
36,4,7,8, 1000000
36,5,6,8, 1000000
36,6,5,8, 1000000
36,7,4,8, 1000000
36,8,4,8, 1000000
36,9,3,8, 1000000
36,10,3,8, 1000000
36,11,3,8, 1000000
36,12,3,8, 1000000
36,13,2,8, 1000000
36,14,2,8, 1000000
36,15,2,8, 1000000
36,16,2,8, 1000000
36,17,2,8, 1000000
36,18,2,8, 1000000
36,19,2,8, 1000000
36,20,2,8, 1000000
36,21,2,8, 1000000
36,22,1,8, 1000000
36,23,1,8, 1000000
36,24,1,8, 1000000
36,25,1,8, 1000000
36,26,1,8, 1000000
36,27,1,8, 1000000
36,28,1,8, 1000000
36,29,1,8, 1000000
36,30,1,8, 1000000
36,31,1,8, 1000000
36,32,1,8, 1000000
36,33,1,8, 1000000
36,34,1,8, 1000000
36,35,1,8, 1000000
36,36,1,8, 1000000
36,37,1,8, 1000000
36,1,32,9, 1000000
36,2,11,9, 1000000
36,3,8,9, 1000000
36,4,6,9, 1000000
36,5,5,9, 1000000
36,6,42,9, 1000000
36,7,4,9, 1000000
36,8,3,9, 1000000
36,9,3,9, 1000000
36,10,3,9, 1000000
36,11,2,9, 1000000
36,12,2,9, 1000000
36,13,2,9, 1000000
36,14,2,9, 1000000
36,15,2,9, 1000000
36,16,1,9, 1000000
36,17,1,9, 1000000
36,18,1,9, 1000000
36,19,1,9, 1000000
36,20,1,9, 1000000
36,21,1,9, 1000000
36,22,1,9, 1000000
36,23,1,9, 1000000
36,24,1,9, 1000000
36,25,1,9, 1000000
36,26,1,9, 1000000
36,27,1,9, 1000000
36,28,1,9, 1000000
36,29,1,9, 1000000
36,30,1,9, 1000000
36,31,1,9, 1000000
36,32,0,9, 1000000
36,33,1,9, 1000000
36,34,1,9, 1000000
36,35,1,9, 1000000
36,36,1,9, 1000000
36,37,1,9, 1000000
36,1,39,10, 1000000
36,2,21,10, 1000000
36,3,15,10, 1000000
36,4,12,10, 1000000
36,5,10,10, 1000000
36,6,8,10, 1000000
36,7,7,10, 1000000
36,8,6,10, 1000000
36,9,6,10, 1000000
36,10,5,10, 1000000
36,11,4,10, 1000000
36,12,4,10, 1000000
36,13,3,10, 1000000
36,14,3,10, 1000000
36,15,3,10, 1000000
36,16,3,10, 1000000
36,17,3,10, 1000000
36,18,3,10, 1000000
36,19,3,10, 1000000
36,20,3,10, 1000000
36,21,2,10, 1000000
36,22,2,10, 1000000
36,23,2,10, 1000000
36,24,2,10, 1000000
36,25,2,10, 1000000
36,26,2,10, 1000000
36,27,2,10, 1000000
36,28,2,10, 1000000
36,29,2,10, 1000000
36,30,2,10, 1000000
36,31,2,10, 1000000
36,32,1,10, 1000000
36,33,1,10, 1000000
36,34,1,10, 1000000
36,35,1,10, 1000000
36,36,1,10, 1000000
36,37,1,10, 1000000
