s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,0.0434070,12, 1000000
radix,1,0.0434070,54, 1000000
quick,2,0.0417750,18, 1000000
radix,2,0.0417750,49, 1000000
quick,3,0.0447760,51, 1000000
radix,3,0.0447760,51, 1000000
quick,4,0.0417010,23, 1000000
radix,4,0.0417010,130, 1000000
quick,5,0.0414330,20, 1000000
radix,5,0.0414330,95, 1000000
quick,6,0.0406320,11, 1000000
radix,6,0.0406320,37, 1000000
quick,7,0.0377570,29, 1000000
radix,7,0.0377570,72, 1000000
quick,8,0.0421990,18, 1000000
radix,8,0.0421990,49, 1000000
quick,9,0.0426290,22, 1000000
radix,9,0.0426290,50, 1000000
quick,10,0.0399720,19, 1000000
radix,10,0.0399720,48, 1000000
quick,11,0.0356550,19, 1000000
radix,11,0.0356550,197, 1000000
quick,12,0.0440830,20, 1000000
radix,12,0.0440830,96, 1000000
quick,13,0.0418610,26, 1000000
radix,13,0.0418610,60, 1000000
quick,14,0.0454910,21, 1000000
radix,14,0.0454910,59, 1000000
quick,15,0.0423890,20, 1000000
radix,15,0.0423890,50, 1000000
quick,16,0.0427880,10, 1000000
radix,16,0.0427880,53, 1000000
quick,17,0.0412290,21, 1000000
radix,17,0.0412290,59, 1000000
quick,18,0.0409970,15, 1000000
radix,18,0.0409970,145, 1000000
quick,19,0.0445740,20, 1000000
radix,19,0.0445740,54, 1000000
quick,20,0.0396770,13, 1000000
radix,20,0.0396770,57, 1000000
quick,21,0.0424560,22, 1000000
radix,21,0.0424560,46, 1000000
quick,22,0.0400330,19, 1000000
radix,22,0.0400330,47, 1000000
quick,23,0.0379300,16, 1000000
radix,23,0.0379300,74, 1000000
quick,24,0.0453280,28, 1000000
radix,24,0.0453280,54, 1000000
quick,25,0.0433930,10, 1000000
radix,25,0.0433930,61, 1000000
quick,26,0.0425890,20, 1000000
radix,26,0.0425890,60, 1000000
quick,27,0.0445950,19, 1000000
radix,27,0.0445950,52, 1000000
quick,28,0.0357560,11, 1000000
radix,28,0.0357560,52, 1000000
quick,29,0.0438020,20, 1000000
radix,29,0.0438020,51, 1000000
quick,30,0.0415160,20, 1000000
radix,30,0.0415160,48, 1000000
quick,31,0.0431080,18, 1000000
radix,31,0.0431080,50, 1000000
quick,32,0.0359730,79, 1000000
radix,32,0.0359730,31, 1000000
quick,33,0.0432920,22, 1000000
radix,33,0.0432920,84, 1000000
quick,34,0.0428500,13, 1000000
radix,34,0.0428500,41, 1000000
quick,35,0.0428680,19, 1000000
radix,35,0.0428680,52, 1000000
quick,36,0.0415680,13, 1000000
radix,36,0.0415680,37, 1000000
quick,37,0.0446850,10, 1000000
radix,37,0.0446850,102, 1000000
quick,38,0.0383980,15, 1000000
radix,38,0.0383980,47, 1000000
quick,39,0.0435540,10, 1000000
radix,39,0.0435540,31, 1000000
quick,40,0.0452080,20, 1000000
radix,40,0.0452080,47, 1000000
quick,41,0.0410200,11, 1000000
radix,41,0.0410200,44, 1000000
quick,42,0.0398350,23, 1000000
radix,42,0.0398350,69, 1000000
quick,43,0.0437890,12, 1000000
radix,43,0.0437890,38, 1000000
quick,44,0.0437880,18, 1000000
radix,44,0.0437880,47, 1000000
quick,45,0.0414690,22, 1000000
radix,45,0.0414690,53, 1000000
quick,46,0.0428370,9, 1000000
radix,46,0.0428370,60, 1000000
quick,47,0.0407180,14, 1000000
radix,47,0.0407180,41, 1000000
