s_name,repeticion,gen_time(s),sort_time(us), cantidad_valores_en_arreglo
quick,1,3.1733790,27, 100000000
radix,1,3.1733790,10, 100000000
quick,2,3.0650810,15, 100000000
radix,2,3.0650810,12, 100000000
quick,3,3.0524840,18, 100000000
radix,3,3.0524840,8, 100000000
quick,4,3.0357660,19, 100000000
radix,4,3.0357660,15, 100000000
quick,5,3.0210480,19, 100000000
radix,5,3.0210480,21, 100000000
quick,6,3.0415000,13, 100000000
radix,6,3.0415000,20, 100000000
quick,7,3.0471590,16, 100000000
radix,7,3.0471590,10, 100000000
quick,8,3.0146380,20, 100000000
radix,8,3.0146380,10, 100000000
quick,9,3.0339320,15, 100000000
radix,9,3.0339320,12, 100000000
quick,10,3.0498680,13, 100000000
radix,10,3.0498680,10, 100000000
